# Catégorie : Histoire
# Emoji : 🏛️
# Firmware : 1
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Qui fut la première femme première ministre du Canada ?|Kim Campbell|3|adultes aines
En quelle année les Canadiennes ont-elles voté au fédéral ?|1918|3|adultes aines
Quel bateau amena les pèlerins en Amérique en 1620 ?|Le Mayflower|2|ados adultes aines
Quelle révolution a renversé le tsar en 1917 ?|La révolution russe|2|ados adultes aines
Qui était le dernier tsar de Russie ?|Nicolas II|3|adultes aines
Quel premier ministre britannique fumait le cigare pendant la guerre ?|Churchill|2|adultes aines
Quel général français a lancé l'appel du 18 juin 1940 ?|De Gaulle|2|adultes aines
Quelle bombe a frappé Hiroshima en 1945 ?|La bombe atomique|1|ados adultes aines
Quels deux blocs s'opposaient durant la guerre froide ?|USA et URSS|2|ados adultes aines
Quel astronaute canadien a chanté dans l'espace ?|Chris Hadfield|2|ados adultes
Quelle station spatiale russe a précédé l'ISS ?|Mir|3|adultes aines
Quel président américain a aboli l'esclavage ?|Lincoln|2|ados adultes aines
- Politique américaine : président et esclavage.
Qui a refusé de céder sa place dans un autobus en 1955 ?|Rosa Parks|2|ados adultes aines
- Politique américaine : lutte pour les droits civiques.
Quelle princesse anglaise est morte à Paris en 1997 ?|Diana|1|adultes aines
Quelle reine a régné 70 ans sur le Royaume-Uni ?|Elizabeth II|1|ados adultes aines
Quel roi anglais a eu six épouses ?|Henri VIII|2|ados adultes aines
Pour quelle exposition la tour Eiffel fut-elle construite ?|Expo de 1889|3|adultes aines
Quel canal relie la Méditerranée à la mer Rouge ?|Suez|2|ados adultes aines
Quelle grande bibliothèque antique a brûlé ?|Alexandrie|2|ados adultes aines
Quel navigateur a donné son prénom à l'Amérique ?|Amerigo Vespucci|2|ados adultes aines
En quelle année eut lieu la bataille des plaines d'Abraham ?|1759|2|ados adultes aines
Qui a remporté la bataille des plaines d'Abraham ?|Les Britanniques|1|ados adultes aines
Quel mur antique protégeait l'Angleterre romaine ?|Mur d'Hadrien|3|adultes aines
Quel animal fut le premier en orbite ?|La chienne Laïka|2|ados adultes aines
Qui fut le premier homme dans l'espace ?|Youri Gagarine|2|ados adultes aines
Qui fut la première femme dans l'espace ?|Valentina Terechkova|3|adultes aines
Quelle mission a posé les premiers hommes sur la Lune ?|Apollo 11|1|enfants ados adultes aines
Quel fut le premier satellite artificiel ?|Spoutnik|2|ados adultes aines
Quel télescope spatial a été lancé en 1990 ?|Hubble|2|ados adultes aines
Quelle pyramide d'Égypte est la plus grande ?|Khéops|2|ados adultes aines
Quelle statue égyptienne a un corps de lion ?|Le Sphinx|1|enfants ados adultes aines
Sur quelle plante les Égyptiens écrivaient-ils ?|Le papyrus|1|enfants ados adultes aines
Comment s'appelle l'écriture des Égyptiens ?|Les hiéroglyphes|1|enfants ados adultes aines
Qui a déchiffré les hiéroglyphes ?|Champollion|3|adultes aines
Quelle pierre a permis de déchiffrer les hiéroglyphes ?|Pierre de Rosette|3|adultes aines
Quelle cité grecque était célèbre pour ses guerriers ?|Sparte|2|ados adultes aines
Quelle bataille grecque a donné son nom à une course ?|Marathon|2|ados adultes aines
Dans quelle ville se tenaient les Jeux olympiques antiques ?|Olympie|2|ados adultes aines
Quel philosophe grec fut condamné à boire la ciguë ?|Socrate|2|ados adultes aines
Quel philosophe fut l'élève de Socrate ?|Platon|2|ados adultes aines
Dans quelle ville est née la démocratie ?|Athènes|2|ados adultes aines
Quel animal a allaité Romulus et Rémus ?|Une louve|2|ados adultes aines
Quel fleuve César a-t-il franchi en disant le sort en est jeté ?|Le Rubicon|3|adultes aines
Où se tenaient les courses de chars à Rome ?|Le Circus Maximus|3|adultes aines
Quel chef des Huns a terrorisé l'Europe ?|Attila|2|ados adultes aines
Quel empereur fut couronné à Rome en l'an 800 ?|Charlemagne|2|ados adultes aines
Quelle bataille de 1066 a livré l'Angleterre aux Normands ?|Hastings|3|adultes aines
Autour de quelle table siégeaient les chevaliers d'Arthur ?|La Table ronde|1|enfants ados adultes aines
Quelles expéditions religieuses visaient Jérusalem ?|Les croisades|2|ados adultes aines
Quel ordre de moines soldats gardait les pèlerins ?|Les Templiers|2|ados adultes aines
Quel chef mongol a fondé un immense empire ?|Gengis Khan|2|ados adultes aines
Dans quelle ville Jeanne d'Arc fut-elle brûlée ?|Rouen|3|adultes aines
Quelle guerre opposa France et Angleterre pendant 116 ans ?|Guerre de Cent Ans|2|ados adultes aines
Quel astronome a placé le Soleil au centre de l'univers ?|Copernic|2|ados adultes aines
Quel savant italien a braqué une lunette vers le ciel ?|Galilée|2|ados adultes aines
Quel moine a affiché 95 thèses en 1517 ?|Luther|3|adultes aines
Quel château fut la résidence de Louis XIV ?|Versailles|1|ados adultes aines
Quelle reine de France fut guillotinée en 1793 ?|Marie-Antoinette|2|ados adultes aines
Quelle prison parisienne fut prise le 14 juillet 1789 ?|La Bastille|2|ados adultes aines
Sur quelle île Napoléon est-il mort ?|Sainte-Hélène|3|adultes aines
Quelle fut la première île d'exil de Napoléon ?|L'île d'Elbe|3|adultes aines
Quel territoire Napoléon a-t-il vendu aux États-Unis ?|La Louisiane|2|ados adultes aines
Quel amiral anglais a gagné Trafalgar ?|Nelson|3|adultes aines
En quelle année eut lieu la bataille de Waterloo ?|1815|3|adultes aines
Quelle infirmière célèbre soignait pendant la guerre de Crimée ?|Florence Nightingale|3|adultes aines
Sur quel navire Darwin a-t-il navigué ?|Le Beagle|3|adultes aines
Quel code de points et de traits date de 1838 ?|Le morse|1|ados adultes aines
Quel constructeur a lancé la Ford T ?|Henry Ford|1|adultes aines
Quels frères ont inventé le cinématographe ?|Les frères Lumière|2|adultes aines
# Contesté : Tesla et Popov ont leurs partisans. On demande le titre reçu, pas la primauté.
Qui a réalisé les premières liaisons radio sans fil ?|Marconi|3|adultes aines
> Quel inventeur italien est considéré comme le père de la radio ?|Marconi
Quels dirigeables allemands portaient un nom de comte ?|Les zeppelins|2|adultes aines
Quelle grippe a fait des millions de morts en 1918 ?|Grippe espagnole|2|adultes aines
En quelle année eut lieu le grand krach boursier ?|1929|2|adultes aines
Quelle crise économique a suivi le krach de 1929 ?|La Grande Dépression|1|adultes aines
Quelle loi américaine interdisait l'alcool ?|La prohibition|1|ados adultes aines
Quel gangster régnait sur Chicago ?|Al Capone|2|adultes aines
Quel président américain a lancé le New Deal ?|Roosevelt|3|adultes aines
- Politique américaine : président.
Quelle base américaine fut attaquée en décembre 1941 ?|Pearl Harbor|2|ados adultes aines
Quelle date exacte est le jour J ?|Le 6 juin 1944|2|ados adultes aines
Quelle adolescente a écrit un journal célèbre à Amsterdam ?|Anne Frank|2|ados adultes aines
# L'UNESCO et la FAO datent aussi de 1945. Le siège tranche.
Quelle organisation mondiale fut fondée en 1945 ?|L'ONU|2|ados adultes aines
> Quelle organisation internationale, fondée en 1945, a son siège à New York ?|L'ONU
Quelle alliance militaire occidentale date de 1949 ?|L'OTAN|2|ados adultes aines
- Géopolitique en pleine actualité.
# Réponse dans la question.
Quelle guerre a divisé la Corée en 1950 ?|Guerre de Corée|1|ados adultes aines
> Quelle guerre a coupé un pays d'Asie en deux à partir de 1950 ?|La guerre de Corée
Quelle crise de 1962 concernait des missiles ?|Crise de Cuba|2|ados adultes aines
Quel premier ministre canadien a dirigé pendant la Seconde Guerre ?|Mackenzie King|3|adultes aines
Quel chirurgien a réalisé la première greffe du cœur ?|Christiaan Barnard|3|adultes aines
Quel avion supersonique reliait Paris et New York ?|Le Concorde|2|adultes aines
Quelle guerre d'Asie a pris fin en 1975 ?|Vietnam|2|adultes aines
Quelles sondes jumelles ont été lancées en 1977 ?|Voyager|3|adultes aines
Quelle centrale nucléaire a explosé en 1986 ?|Tchernobyl|2|adultes aines
En quelle année l'Allemagne s'est-elle réunifiée ?|1990|3|adultes aines
En quelle année l'URSS a-t-elle disparu ?|1991|3|adultes aines
Quel traité de 1992 a créé l'Union européenne ?|Maastricht|3|adultes aines
Quel tunnel sous la mer a ouvert en 1994 ?|Sous la Manche|1|adultes aines
Quelle brebis clonée est née en 1996 ?|Dolly|2|adultes aines
Quelle date redoutaient les informaticiens en 1999 ?|Le 1er janvier 2000|1|adultes aines
Quelles tours new-yorkaises sont tombées le 11 septembre 2001 ?|World Trade Center|1|enfants ados adultes aines
- Attentat : rien à faire dans une soirée de jeu.
En quelle année l'euro est-il entré en circulation ?|2002|3|adultes aines
Qui a fondé Facebook en 2004 ?|Mark Zuckerberg|1|ados adultes
Quel fut le premier président noir des États-Unis ?|Obama|1|enfants ados adultes aines
- Politique américaine : président.
Quel rover s'est posé sur Mars en 2012 ?|Curiosity|3|ados adultes
Quel physicien en fauteuil roulant a étudié les trous noirs ?|Stephen Hawking|2|ados adultes aines
Quelle militante pakistanaise a reçu le Nobel de la paix ?|Malala|2|ados adultes
Quel capitaine anglais a cartographié le Pacifique ?|James Cook|2|ados adultes aines
Qui a atteint le pôle Sud en premier ?|Amundsen|3|adultes aines
Qui a gravi l'Everest en premier en 1953 ?|Hillary et Norgay|2|ados adultes aines
Quel navire océanographique commandait Cousteau ?|La Calypso|2|adultes aines
Quel empereur romain aurait incendié Rome ?|Néron|2|ados adultes aines
Quel général carthaginois a traversé les Alpes à dos d'éléphant ?|Hannibal|2|ados adultes aines
Quel explorateur a cherché la fontaine de Jouvence en Floride ?|Ponce de León|3|adultes aines
Quelle femme pharaon portait une fausse barbe cérémoniale ?|Hatchepsout|3|adultes aines
Quel pharaon bâtisseur a régné 66 ans ?|Ramsès II|2|ados adultes aines
# L'époque élisabéthaine existe aussi.
Quelle reine d'Angleterre a donné son nom à une époque ?|Victoria|2|ados adultes aines
> Quelle reine britannique a régné pendant presque tout le 19e siècle ?|Victoria
# Réponse dans la question.
Quel tissu précieux voyageait sur la route de la soie ?|La soie|1|ados adultes aines
> Quel tissu précieux venait de Chine par une longue route caravanière ?|La soie
Qui a fondé Ville-Marie, la future Montréal ?|Maisonneuve|2|ados adultes aines
Quelle infirmière a fondé l'Hôtel-Dieu de Montréal ?|Jeanne Mance|2|ados adultes aines
Quel intendant a développé la Nouvelle-France ?|Jean Talon|2|ados adultes aines
Quelles jeunes filles furent envoyées peupler la Nouvelle-France ?|Filles du Roy|2|ados adultes aines
Quel traité de 1763 a cédé la Nouvelle-France à l'Angleterre ?|Traité de Paris|3|adultes aines
Quelle rébellion québécoise eut lieu en 1837 ?|Les Patriotes|2|ados adultes aines
Quel chemin de fer a uni le Canada en 1885 ?|Canadien Pacifique|2|ados adultes aines
Quelle ruée vers l'or a attiré des milliers de gens au Yukon ?|Klondike|2|ados adultes aines
# Réponse dans la question : « pont québécois » donnait « pont de Québec ».
Quel pont québécois s'est effondré en 1907 ?|Pont de Québec|2|ados adultes aines
> Quel pont s'est effondré deux fois pendant sa construction, en 1907 et en 1916 ?|Le pont de Québec
Quelle ville canadienne fut dévastée par une explosion en 1917 ?|Halifax|3|adultes aines
Quel premier ministre a donné son nom à un aéroport de Montréal ?|Trudeau|1|ados adultes aines
Quelle politique canadienne date de la loi de 1969 ?|Le bilinguisme|2|adultes aines
Quel Trudeau est devenu premier ministre en 2015 ?|Justin Trudeau|1|ados adultes aines
En quelle année a débuté la Seconde Guerre mondiale ?|1939|2|ados adultes aines
En quelle année a pris fin la Première Guerre mondiale ?|1918|2|ados adultes aines
Qui fut le premier président des États-Unis ?|George Washington|1|enfants ados adultes aines
- Politique américaine : président.
Quel général français s'est couronné empereur en 1804 ?|Napoléon|1|ados adultes aines
Quel roi de France a été guillotiné en 1793 ?|Louis XVI|2|ados adultes aines
Quel conquistador espagnol a conquis l'empire inca ?|Pizarro|3|adultes aines
Quelle reine anglaise fut surnommée la Reine vierge ?|Elizabeth Ire|2|ados adultes aines
Quelle aviatrice a disparu dans le Pacifique en 1937 ?|Amelia Earhart|2|adultes aines
Quel dictateur dirigeait l'Allemagne nazie ?|Hitler|1|ados adultes aines
Quel dictateur soviétique a succédé à Lénine ?|Staline|2|ados adultes aines
Quel révolutionnaire russe a fondé l'URSS ?|Lénine|2|ados adultes aines
Quel premier ministre orne le billet canadien de 5 $ ?|Wilfrid Laurier|2|adultes aines
Qui fut le premier premier ministre du Canada ?|John A. Macdonald|2|ados adultes aines
Qui fut le deuxième homme à marcher sur la Lune ?|Buzz Aldrin|2|ados adultes aines
Quelle navette spatiale a explosé au décollage en 1986 ?|Challenger|2|adultes aines
Quel président américain a démissionné après le Watergate ?|Nixon|2|ados adultes aines
- Politique américaine : président et scandale politique.
Quel calendrier, adopté en 1582, utilisons-nous ?|Le grégorien|2|ados adultes aines
Quel empereur romain a légalisé le christianisme ?|Constantin|3|adultes aines
Quelle ville fut la capitale de l'Empire byzantin ?|Constantinople|2|ados adultes aines
Quel roi babylonien a gravé un célèbre code de lois ?|Hammurabi|3|adultes aines
Quelle machine allemande codait les messages nazis ?|Enigma|2|ados adultes aines
Quel mathématicien anglais a cassé le code Enigma ?|Alan Turing|2|ados adultes aines
Quelle première ministre fut surnommée la Dame de fer ?|Thatcher|2|adultes aines
Quelle reine d'Égypte a un buste célèbre à Berlin ?|Néfertiti|2|ados adultes aines

=== hors firmware ===

#
# ─── histoire ───
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
#
# La banque n'a que 38 questions d'histoire faciles sur 200 : c'est la
# catégorie qui manquait le plus à la collection « 7 à 77 ans ».
Quel peuple de l'Antiquité construisait des pyramides et embaumait ses morts ?|Les Égyptiens|1|enfants ados adultes aines
Comment appelle-t-on un corps embaumé et enveloppé de bandelettes ?|Une momie|1|enfants ados adultes aines
Comment appelait-on les rois de l'Égypte ancienne ?|Les pharaons|1|enfants ados adultes aines
Quel animal domestique les Égyptiens adoraient-ils au point de le momifier ?|Le chat|1|enfants ados adultes aines
Quels animaux géants ont disparu bien avant l'apparition des humains ?|Les dinosaures|1|enfants ados adultes aines
Quel animal géant à défenses et à longs poils vivait à l'époque des glaces ?|Le mammouth|1|enfants ados adultes aines
Que fabriquaient les hommes préhistoriques en frottant deux pierres ?|Le feu|1|enfants ados adultes aines
De quoi étaient faits les premiers outils des hommes préhistoriques ?|De pierre|1|enfants ados adultes aines
Que dessinaient les hommes préhistoriques sur les murs des grottes ?|Des animaux|1|enfants ados adultes aines
Quelle arme les chevaliers portaient-ils au côté ?|L'épée|1|enfants ados adultes aines
Que portaient les chevaliers pour protéger leur corps au combat ?|Une armure|1|enfants ados adultes aines
Dans quel bâtiment fortifié vivaient les rois et les reines du Moyen Âge ?|Un château|1|enfants ados adultes aines
Comment appelait-on les combats à cheval où deux chevaliers se chargeaient avec des lances ?|Les joutes|1|enfants ados adultes aines
Quel navigateur a traversé l'Atlantique en 1492 et atteint l'Amérique ?|Christophe Colomb|1|enfants ados adultes aines
Quels peuples vivaient déjà en Amérique quand les Européens sont arrivés ?|Les Autochtones|1|enfants ados adultes aines
Quels marins portaient un bandeau sur l'œil et cherchaient des trésors ?|Les pirates|1|enfants ados adultes aines
Quelle grande statue verte tient une torche à l'entrée de New York ?|La statue de la Liberté|1|enfants ados adultes aines
Quel véhicule à vapeur roulait sur des rails au 19e siècle ?|La locomotive|1|enfants ados adultes aines
Quel peuple a construit le Colisée et les aqueducs ?|Les Romains|1|enfants ados adultes aines
Quel peuple de l'Antiquité a inventé les Jeux olympiques ?|Les Grecs|1|enfants ados adultes aines
Quel ancien téléphone fallait-il tourner avec le doigt pour composer un numéro ?|Le téléphone à cadran|1|enfants ados adultes aines
Avec quoi écrivait-on avant le stylo, en la trempant dans l'encre ?|Une plume|1|enfants ados adultes aines
Comment appelle-t-on l'ensemble des histoires des dieux et des héros grecs ?|La mythologie|1|enfants ados adultes aines
Quel roi figure sur les nouvelles pièces de monnaie canadiennes depuis 2023 ?|Charles III|1|enfants ados adultes aines
En quel siècle vivons-nous ?|Le 21e siècle|1|enfants ados adultes aines
Quelle fleur rouge porte-t-on en novembre en souvenir des soldats ?|Le coquelicot|1|enfants ados adultes aines
Quel ballon géant à panier et à air chaud a été le premier engin à transporter des humains dans le ciel ?|La montgolfière|1|enfants ados adultes aines
Quel animal les chevaliers montaient-ils pour aller au combat ?|Le cheval|1|enfants ados adultes aines
Quel objet les premiers explorateurs utilisaient-ils pour trouver le nord ?|Une boussole|1|enfants ados adultes aines
