# Catégorie : Musique
# Emoji : 🎵
# Firmware : 5
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Quel groupe rock québécois était mené par Gerry Boulet ?|Offenbach|2|adultes aines
Quelle chanteuse québécoise a une voix puissante et chante Un peu plus haut ?|Ginette Reno|2|adultes aines
Quel chansonnier a écrit Mon pays ?|Gilles Vigneault|2|adultes aines
Quelle chanteuse acadienne a popularisé Évangéline ?|Annie Blanchard|3|adultes aines
Quel chanteur québécois a chanté Le petit roi ?|Jean-Pierre Ferland|2|adultes aines
Quelle chanteuse québécoise a gagné Eurovision pour la Suisse en 1988 ?|Céline Dion|2|adultes aines
Quel instrument est roi dans les rigodons québécois ?|Le violon|1|ados adultes aines
Quel groupe folklorique québécois a une bottine dans son nom ?|La Bottine Souriante|2|adultes aines
Comment nomme-t-on le rythme frappé du pied au Québec ?|La podorythmie|3|adultes aines
Quel instrument à dents pincées accompagne le folklore ?|La guimbarde|3|adultes aines
Quelles pièces de bois claque-t-on entre les doigts au Québec ?|Les cuillères|1|ados adultes aines
Quel compositeur a écrit la Lettre à Élise ?|Beethoven|2|ados adultes aines
Combien de symphonies Beethoven a-t-il composées ?|Neuf|3|adultes aines
Quel compositeur baroque a écrit les Concertos brandebourgeois ?|Bach|3|adultes aines
Quel compositeur enfant prodige a écrit La Flûte enchantée ?|Mozart|2|ados adultes aines
Quel compositeur polonais est le roi du piano romantique ?|Chopin|2|adultes aines
Quel compositeur français a écrit le Boléro ?|Ravel|3|adultes aines
Quel compositeur autrichien est le roi de la valse ?|Strauss|2|adultes aines
Quelle valse célèbre évoque un fleuve autrichien ?|Le Beau Danube bleu|2|adultes aines
Quelle cantatrice grecque fut surnommée la Divina ?|Maria Callas|3|adultes aines
Quel ténor italien a chanté avec les Trois Ténors ?|Pavarotti|2|adultes aines
Quelle œuvre de Prokofiev raconte un garçon et un loup ?|Pierre et le loup|2|ados adultes aines
Dans Pierre et le loup, quel instrument joue le loup ?|Le cor|3|adultes aines
Dans Pierre et le loup, quel instrument joue l'oiseau ?|La flûte|2|ados adultes aines
Quel hymne européen vient de la 9e de Beethoven ?|L'Ode à la joie|2|ados adultes aines
Quelle chanson des Beatles parle d'un sous-marin ?|Yellow Submarine|1|adultes aines
Quel groupe britannique a chanté Satisfaction ?|Rolling Stones|2|adultes aines
Quel chanteur des Rolling Stones a de grandes lèvres célèbres ?|Mick Jagger|2|adultes aines
Quel groupe a chanté Stairway to Heaven ?|Led Zeppelin|2|adultes aines
Quel groupe a chanté Another Brick in the Wall ?|Pink Floyd|2|adultes aines
Quel groupe a sorti l'album au prisme en 1973 ?|Pink Floyd|2|adultes aines
Quel chanteur est surnommé The Boss ?|Bruce Springsteen|2|adultes aines
Quel chanteur canadien a chanté Summer of 69 ?|Bryan Adams|2|adultes aines
Quelle chanteuse canadienne a chanté Complicated ?|Avril Lavigne|2|ados adultes
Quel chanteur canadien a été découvert sur YouTube ?|Justin Bieber|1|enfants ados adultes
Quel rappeur canadien vient de Toronto ?|Drake|1|enfants ados adultes
Quelle chanteuse canadienne a chanté Call Me Maybe ?|Carly Rae Jepsen|2|ados adultes
Quel poète-chanteur canadien a écrit Hallelujah ?|Leonard Cohen|2|adultes aines
Quelle chanteuse folk canadienne a écrit Big Yellow Taxi ?|Joni Mitchell|3|aines
Quel groupe canadien a chanté American Woman ?|The Guess Who|3|aines
Quel groupe de Montréal a gagné un Grammy pour The Suburbs ?|Arcade Fire|2|ados adultes
Quelle chanteuse a chanté Rolling in the Deep ?|Adele|2|ados adultes
Quelle chanteuse a chanté Bad Romance ?|Lady Gaga|2|ados adultes
Quelle chanteuse est surnommée Queen B ?|Beyoncé|1|enfants ados adultes
Quelle jeune chanteuse a chanté Bad Guy ?|Billie Eilish|2|enfants ados
Quelle superstar américaine a nommé sa tournée Eras ?|Taylor Swift|1|enfants ados adultes
Quel chanteur britannique roux a chanté Shape of You ?|Ed Sheeran|2|ados adultes
Quel groupe sud-coréen a chanté Dynamite ?|BTS|2|enfants ados
Quel style musical coréen a conquis la planète ?|La K-pop|1|enfants ados
Quel chanteur a popularisé le twist ?|Chubby Checker|3|aines
Quelle danse latine endiablée vient de Cuba ?|La salsa|1|ados adultes aines
Quelle danse brésilienne anime le carnaval ?|La samba|1|ados adultes aines
Quel style jamaïcain a précédé le reggae ?|Le ska|3|adultes aines
Quel style musical parle-chante sur des rythmes ?|Le rap|1|enfants ados adultes aines
Quel style musical est né dans les églises noires américaines ?|Le gospel|1|ados adultes aines
Quel style triste est né dans le delta du Mississippi ?|Le blues|1|ados adultes aines
Quel roi du blues appelait sa guitare Lucille ?|B.B. King|3|adultes aines
Quel guitariste gaucher a joué Purple Haze ?|Jimi Hendrix|2|adultes aines
Quel guitariste de Queen a un doctorat en astrophysique ?|Brian May|3|adultes aines
Quel musicien aveugle a chanté Georgia on My Mind ?|Ray Charles|2|adultes aines
Quel trompettiste avait les joues gonflées célèbres ?|Dizzy Gillespie|3|aines
Quel trompettiste a chanté What a Wonderful World ?|Louis Armstrong|2|adultes aines
Quelle chanteuse de jazz était surnommée Lady Day ?|Billie Holiday|3|aines
Quelle chanteuse française chantait La Vie en rose ?|Édith Piaf|1|adultes aines
Quel chanteur belge a chanté Ne me quitte pas ?|Jacques Brel|2|adultes aines
Quel chanteur français a chanté La Bohème ?|Charles Aznavour|2|adultes aines
Quel chanteur français moustachu chantait Les Champs-Élysées ?|Joe Dassin|2|adultes aines
Quel chanteur belge a chanté Alors on danse ?|Stromae|2|ados adultes
Quelle chanson de Stromae parle d'un père absent ?|Papaoutai|2|ados adultes
Quel instrument électronique remplace un orchestre ?|Le synthétiseur|1|ados adultes aines
Quel appareil mélange les disques en soirée ?|Table tournante|1|ados adultes aines
Comment nomme-t-on l'artiste qui anime les platines ?|Le DJ|1|enfants ados adultes aines
Quel format de disque tourne à 33 tours ?|Le vinyle|1|adultes aines
Quel petit disque optique a remplacé la cassette ?|Le CD|1|adultes aines
Quel baladeur de Sony a révolutionné les années 80 ?|Le Walkman|2|adultes aines
Quelle note suit le si dans la gamme ?|Le do|1|enfants ados adultes aines
Combien de demi-tons dans une octave ?|Douze|3|adultes aines
Quel signe musical monte une note d'un demi-ton ?|Le dièse|2|ados adultes aines
Quel signe musical baisse une note d'un demi-ton ?|Le bémol|2|ados adultes aines
Quelle clé musicale ressemble à une esperluette ?|Clé de sol|2|ados adultes aines
Sur quelle clé lit-on les notes graves ?|Clé de fa|2|ados adultes aines
Combien de temps dure une ronde ?|Quatre temps|2|ados adultes aines
Comment s'appelle un chant de Noël traditionnel ?|Un cantique|2|ados adultes aines
Quelle chanson de Noël parle d'un bonhomme de neige ?|Frosty|1|enfants ados adultes aines
# La question citait le titre à trouver.
Quel chant de Noël commence par Mon beau sapin ?|Mon beau sapin|1|enfants ados adultes aines
> Quel chant de Noël célèbre un arbre dont le feuillage reste vert tout l'hiver ?|Mon beau sapin
Quelle chanson chante-t-on aux anniversaires ?|Bonne fête|1|enfants ados adultes aines
Quel opéra rock de Plamondon met en scène un businessman ?|Starmania|2|adultes aines
Quel spectacle musical français raconte Quasimodo ?|Notre-Dame de Paris|2|adultes aines
Quelle comédie musicale met en scène des chats ?|Cats|1|ados adultes aines
Quelle comédie musicale raconte un fantôme masqué ?|Fantôme de l'Opéra|1|ados adultes aines
Quelle comédie musicale suit une famille autrichienne ?|Mélodie du bonheur|2|adultes aines
Quel film musical met en scène Danny et Sandy ?|Grease|1|adultes aines
Quel chanteur incarnait Danny dans Grease ?|John Travolta|1|adultes aines
Quelle comédie musicale utilise les chansons d'ABBA ?|Mamma Mia|1|adultes aines
Quel chant alpin alterne voix de tête et de poitrine ?|Le yodel|1|ados adultes aines
Quel long instrument suisse s'étire au sol ?|Le cor des Alpes|2|ados adultes aines
Quel tambour à main vient d'Irlande ?|Le bodhrán|3|adultes aines
Quel instrument australien est un long tube en bois ?|Le didgeridoo|2|ados adultes aines
Quel tambour métallique vient de Trinité ?|Le steel drum|3|adultes aines
Quelles percussions cubaines se jouent par paire à main nue ?|Les congas|3|adultes aines
Quel xylophone africain a des calebasses ?|Le balafon|3|adultes aines
Quel piano à pouces africain vibre sous les doigts ?|La kalimba|3|adultes aines
Quel groupe a chanté Hey Jude et Let It Be ?|Les Beatles|1|ados adultes aines
Quel instrument à archet se joue assis, entre les genoux ?|Le violoncelle|1|ados adultes aines
Quelle chanteuse de la Barbade a chanté Umbrella ?|Rihanna|1|ados adultes
Quel chanteur américain a chanté Purple Rain ?|Prince|2|adultes aines
Quel groupe de Birmingham a lancé le heavy metal ?|Black Sabbath|3|adultes aines
Quel groupe a chanté Hotel California ?|Les Eagles|2|adultes aines
Quel groupe a chanté Smoke on the Water ?|Deep Purple|3|aines
Quel album de Michael Jackson est le plus vendu ?|Thriller|2|adultes aines
Comment s'appelle l'hymne national de la France ?|La Marseillaise|1|ados adultes aines
Quelle petite flûte traversière est très aiguë ?|Le piccolo|2|ados adultes aines
Quelle percussion ronde a des cymbalettes ?|Le tambourin|1|enfants ados adultes aines
Quelle ville américaine est la capitale du country ?|Nashville|2|adultes aines
Quel chanteur country était surnommé l'Homme en noir ?|Johnny Cash|2|adultes aines
Quelle chanteuse country a chanté Jolene ?|Dolly Parton|2|adultes aines
Combien de musiciens forment un trio ?|Trois|1|enfants ados adultes aines
Quelle comptine demande Dormez-vous ?|Frère Jacques|1|enfants ados adultes aines
Quel groupe a chanté Sweet Child O' Mine ?|Guns N' Roses|2|adultes aines
Combien de touches noires compte un piano ?|36|3|adultes aines
Quel chef d'orchestre québécois dirige le Met de New York ?|Nézet-Séguin|3|adultes aines
Comment s'appelle le plus gros tambour d'une fanfare ?|La grosse caisse|1|enfants ados adultes aines
Quel groupe britannique a chanté Wonderwall ?|Oasis|2|adultes aines
Quelle chanteuse colombienne a chanté Waka Waka ?|Shakira|1|ados adultes aines
Quel chanteur portoricain a chanté Despacito ?|Luis Fonsi|2|enfants ados adultes

=== hors firmware ===

#
# ─── musique ───
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Dans « Au clair de la lune », à quel ami demande-t-on de prêter sa plume ?|Pierrot|1|enfants ados adultes aines
Dans la comptine, de quelle couleur est la souris qui courait dans l'herbe ?|Verte|1|enfants ados adultes aines
Dans « 1, 2, 3, nous irons au bois », que va-t-on cueillir ?|Des cerises|1|enfants ados adultes aines
Quel instrument a des touches noires et blanches ?|Le piano|1|enfants ados adultes aines
Quel petit instrument à vent se souffle avec la bouche dans le blues et le folk ?|L'harmonica|1|enfants ados adultes aines
Quel petit instrument à vent apprend-on à jouer à l'école primaire ?|La flûte à bec|1|enfants ados adultes aines
Comment appelle-t-on un groupe de personnes qui chantent ensemble ?|Une chorale|1|enfants ados adultes aines
Quel objet tient le chanteur pour que sa voix porte dans toute la salle ?|Le micro|1|enfants ados adultes aines
Quel chant de Noël québécois reprend l'air de Jingle Bells ?|Vive le vent|1|enfants ados adultes aines
Quel chant de Noël demande de descendre du ciel avec des jouets par milliers ?|Petit papa Noël|1|enfants ados adultes aines
Quelle danse se pratique en tutu et sur la pointe des pieds ?|Le ballet|1|enfants ados adultes aines
Quelle danse des années 90 se fait en groupe, bras tendus, avec un quart de tour à la fin ?|La Macarena|1|adultes aines
Quelle chanson enfantine parle d'un petit navire qui n'avait jamais navigué ?|Il était un petit navire|1|enfants ados adultes aines
Dans « Alouette, gentille alouette », quelle partie plume-t-on en premier ?|La tête|1|enfants ados adultes aines
Dans « Savez-vous planter les choux », avec quoi les plante-t-on en premier ?|Le doigt|1|enfants ados adultes aines
Sur quel pont danse-t-on tous en rond dans la chanson ?|Le pont d'Avignon|1|enfants ados adultes aines
Comment appelle-t-on la personne qui écrit la musique d'une chanson ?|Le compositeur|1|enfants ados adultes aines
Comment appelle-t-on les mots d'une chanson ?|Les paroles|1|enfants ados adultes aines
Comment appelle-t-on la partie d'une chanson qui revient entre les couplets ?|Le refrain|1|enfants ados adultes aines
Quel instrument rempli de graines produit un son quand on le secoue ?|Les maracas|1|enfants ados adultes aines
Quel petit instrument de métal, suspendu à un fil, tinte quand on le frappe avec une tige ?|Le triangle|1|enfants ados adultes aines
Quel instrument à lamelles de bois frappe-t-on avec des maillets ?|Le xylophone|1|enfants ados adultes aines
Quel instrument à cordes et à long manche donne son son à la musique country ?|Le banjo|1|enfants ados adultes aines
Quel instrument à soufflet et à touches anime les fêtes de famille ?|L'accordéon|1|enfants ados adultes aines
Quel hymne national commence par les mots « terre de nos aïeux » ?|Ô Canada|1|enfants ados adultes aines
Quelle chanson de Queen fait taper des pieds et des mains sur « We will, we will... » ?|We Will Rock You|1|enfants ados adultes aines
Dans un orchestre, quel instrument donne le la aux autres avant le concert ?|Le hautbois|3|adultes aines
Combien de musiciens jouent dans un duo ?|Deux|1|enfants ados adultes aines
Que fait le public avec ses mains à la fin d'un spectacle ?|Il applaudit|1|enfants ados adultes aines
Quel instrument à quatre grosses cordes tient le rythme grave dans un groupe rock ?|La guitare basse|2|ados adultes aines
Quel instrument en cuivre déplié mesure près de trois mètres et se joue avec une coulisse ?|Le trombone|1|enfants ados adultes aines
Dans quelle comptine un fermier a-t-il des animaux qui font chacun leur cri ?|Dans la ferme de Mathurin|1|enfants ados adultes aines
