# Catégorie : Géographie
# Emoji : 🌍
# Firmware : 2
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Capitale de l'Alberta ?|Edmonton|2|ados adultes aines
Capitale du Manitoba ?|Winnipeg|2|ados adultes aines
Capitale de la Nouvelle-Écosse ?|Halifax|2|ados adultes aines
Capitale du Nouveau-Brunswick ?|Fredericton|2|ados adultes aines
Capitale de Terre-Neuve ?|Saint-Jean|2|ados adultes aines
Quel territoire canadien a Iqaluit pour capitale ?|Le Nunavut|2|ados adultes aines
Quel territoire canadien a Whitehorse pour capitale ?|Le Yukon|2|ados adultes aines
Quel fleuve traverse Paris ?|La Seine|1|ados adultes aines
Quel fleuve traverse Londres ?|La Tamise|2|ados adultes aines
Quel fleuve traverse Rome ?|Le Tibre|3|adultes aines
Quel fleuve traverse Vienne et Budapest ?|Le Danube|2|ados adultes aines
Quel grand fleuve traverse l'Amazonie ?|L'Amazone|1|enfants ados adultes aines
Quel fleuve américain se jette à La Nouvelle-Orléans ?|Le Mississippi|2|ados adultes aines
Quel long fleuve traverse la Chine ?|Le Yangtsé|3|adultes aines
Quel fleuve sacré traverse l'Inde ?|Le Gange|2|ados adultes aines
Quelles chutes célèbres sont à la frontière canado-américaine ?|Niagara|1|enfants ados adultes aines
Quelles chutes africaines portent le nom d'une reine ?|Victoria|2|ados adultes aines
Quel désert froid couvre une partie de la Mongolie ?|Le Gobi|2|ados adultes aines
Quel désert couvre le sud-ouest africain ?|Le Kalahari|3|adultes aines
Quelle est la plus grande île du monde ?|Le Groenland|2|ados adultes aines
Quelle mer est si salée qu'on y flotte ?|La mer Morte|1|ados adultes aines
Quel lac écossais abriterait un monstre ?|Le Loch Ness|1|enfants ados adultes aines
Quel archipel équatorien a inspiré Darwin ?|Les Galápagos|2|ados adultes aines
Quel pays a la forme d'une botte ?|L'Italie|1|ados adultes aines
Quel pays d'Asie compte plus de 17000 îles ?|L'Indonésie|3|adultes aines
Quel pays scandinave est célèbre pour ses fjords ?|La Norvège|2|ados adultes aines
Quel volcan sicilien est le plus actif d'Europe ?|L'Etna|2|ados adultes aines
Sur quel continent se dresse le Kilimandjaro ?|L'Afrique|1|ados adultes aines
Quelle rivière a creusé le Grand Canyon ?|Le Colorado|2|ados adultes aines
Quel état américain est un archipel volcanique ?|Hawaï|1|ados adultes aines
Quel état américain est le plus grand ?|L'Alaska|2|ados adultes aines
Quel pays entoure complètement le Lesotho ?|Afrique du Sud|3|adultes aines
# Le méridien de Greenwich sépare aussi deux hémisphères, est et ouest.
Quelle ligne imaginaire sépare les deux hémisphères ?|L'équateur|1|ados adultes aines
> Quelle ligne imaginaire sépare l'hémisphère nord de l'hémisphère sud ?|L'équateur
Combien de fuseaux horaires couvre le Canada ?|Six|2|ados adultes aines
Quelle mer borde la Côte d'Azur ?|La Méditerranée|1|ados adultes aines
Quel océan borde la côte est du Canada ?|L'Atlantique|1|enfants ados adultes aines
# L'océan Austral est plus froid encore : « le plus froid » ne tranche pas.
Quel océan est le plus froid ?|L'Arctique|1|enfants ados adultes aines
> Quel océan entoure le pôle Nord ?|L'océan Arctique
Quelle est la plus haute montagne d'Afrique ?|Le Kilimandjaro|2|ados adultes aines
Quelle est la plus haute montagne d'Amérique du Nord ?|Le Denali|3|adultes aines
Quelle est la plus haute montagne du Canada ?|Le mont Logan|3|adultes aines
Quelle chaîne de montagnes traverse l'ouest canadien ?|Les Rocheuses|1|enfants ados adultes aines
Quelle chaîne sépare l'Europe de l'Asie ?|L'Oural|3|adultes aines
Quel massif abrite l'Everest ?|L'Himalaya|1|ados adultes aines
Quel pays possède le mont Fuji ?|Le Japon|1|ados adultes aines
Quel détroit sépare la Russie de l'Alaska ?|Bering|2|ados adultes aines
Quel canal traverse l'Amérique centrale ?|Panama|1|ados adultes aines
Langue parlée en Argentine ?|L'espagnol|1|ados adultes aines
Langue parlée en Autriche ?|L'allemand|2|ados adultes aines
Langue parlée en Égypte ?|L'arabe|1|ados adultes aines
Monnaie utilisée aux États-Unis ?|Le dollar|1|enfants ados adultes aines
Monnaie utilisée en Suisse ?|Le franc suisse|2|ados adultes aines
Monnaie utilisée en Inde ?|La roupie|2|ados adultes aines
Quel pays a un drapeau avec une étoile de David ?|Israël|1|ados adultes aines
Quel pays a une croix blanche sur fond rouge ?|La Suisse|1|ados adultes aines
Quel pays nordique a un drapeau bleu et blanc croisé ?|La Finlande|3|adultes aines
Quel immense pays occupe la moitié de l'Amérique du Sud ?|Le Brésil|1|ados adultes aines
Quel petit pays est enclavé entre France et Espagne ?|Andorre|3|adultes aines
Quel micro-État borde Nice et la Méditerranée ?|Monaco|2|ados adultes aines
Quel pays est surnommé le pays du Soleil-Levant ?|Le Japon|1|ados adultes aines
Quel pays est surnommé la botte de l'Europe ?|L'Italie|1|ados adultes aines
Quel pays est surnommé l'île d'émeraude ?|L'Irlande|2|ados adultes aines
Quelle ville est surnommée la Grosse Pomme ?|New York|1|ados adultes aines
Quelle ville est surnommée la Ville lumière ?|Paris|1|ados adultes aines
Quelle ville est surnommée la Ville éternelle ?|Rome|2|ados adultes aines
Dans quelle ville trouve-t-on le Golden Gate ?|San Francisco|1|ados adultes aines
Dans quelle ville trouve-t-on l'opéra aux voiles blanches ?|Sydney|1|ados adultes aines
Dans quelle ville trouve-t-on le Kremlin ?|Moscou|1|ados adultes aines
Dans quelle ville trouve-t-on la place Tiananmen ?|Pékin|2|ados adultes aines
Dans quelle ville trouve-t-on le Christ Rédempteur ?|Rio de Janeiro|1|ados adultes aines
Dans quel pays se trouve Tombouctou ?|Le Mali|3|adultes aines
Dans quel pays se trouve le Machu Picchu ?|Le Pérou|2|ados adultes aines
Dans quel pays se trouve Petra, la cité rose ?|La Jordanie|3|adultes aines
Dans quel pays se trouve l'Acropole ?|La Grèce|1|ados adultes aines
Dans quel pays se trouve le Colisée ?|L'Italie|1|ados adultes aines
Quelle est la plus grande ville du Canada ?|Toronto|1|enfants ados adultes aines
Quelle est la plus grande ville des États-Unis ?|New York|1|enfants ados adultes aines
Quelle est la plus grande ville d'Australie ?|Sydney|2|ados adultes aines
Combien d'états composent les États-Unis ?|50|1|ados adultes aines
Quel état américain touche le Québec et le Nouveau-Brunswick ?|Le Maine|2|ados adultes aines
Quelle péninsule abrite Espagne et Portugal ?|Ibérique|2|ados adultes aines
Quelle péninsule abrite la Mecque ?|L'Arabie|2|ados adultes aines
Quelle mer intérieure borde le Kazakhstan et l'Iran ?|La Caspienne|3|adultes aines
Quel golfe borde le Texas et la Floride ?|Golfe du Mexique|1|ados adultes aines
Quelle est la plus grande île du golfe Saint-Laurent ?|Anticosti|2|ados adultes aines
Quelle baie géante borde le nord du Québec ?|Baie d'Hudson|1|ados adultes aines
Quelle île canadienne est la plus grande ?|Île de Baffin|2|ados adultes aines
Quel passage maritime arctique relie deux océans ?|Nord-Ouest|2|ados adultes aines
Quel courant marin réchauffe l'Europe ?|Le Gulf Stream|2|ados adultes aines
Quel phénomène marin fait tourbillonner l'eau ?|Le maelstrom|3|adultes aines
Quelle fosse océanique est la plus profonde ?|Les Mariannes|3|ados adultes aines
Quel récif corallien longe l'Australie ?|Grande Barrière|2|ados adultes aines
Quel pays a pour emblème le kiwi ?|Nouvelle-Zélande|2|ados adultes aines
Quel pays a pour emblème le panda ?|La Chine|1|enfants ados adultes aines
Quel pays a pour emblème le coq ?|La France|1|ados adultes aines
Quel animal des Andes crache quand il est fâché ?|Le lama|1|enfants ados adultes aines
Sur quel continent vivent les girafes en liberté ?|L'Afrique|1|enfants ados adultes aines
Dans quel pays les vaches sont-elles sacrées ?|L'Inde|1|ados adultes aines
Quel pays produit le plus de café ?|Le Brésil|2|ados adultes aines
Quel pays produit le plus de sirop d'érable ?|Le Canada|1|enfants ados adultes aines
Quel continent n'a aucun pays ?|L'Antarctique|1|enfants ados adultes aines
Combien de territoires compte le Canada ?|Trois|1|ados adultes aines
Quelle frontière est la plus longue du monde ?|Canada-USA|2|ados adultes aines
Quelle ville sainte est commune à trois religions ?|Jérusalem|2|ados adultes aines
Dans quelle ville trouve-t-on la basilique Saint-Pierre ?|Rome (Vatican)|2|ados adultes aines
Dans quel pays se trouve La Mecque ?|Arabie saoudite|2|ados adultes aines
Quel fleuve forme la frontière Ontario-Québec au sud ?|L'Outaouais|2|ados adultes aines
Quelle province des Prairies a Regina pour capitale ?|La Saskatchewan|2|ados adultes aines
Quelle province canadienne produit le plus de pétrole ?|L'Alberta|1|ados adultes aines
Quelle île canadienne a inspiré Anne aux pignons verts ?|Prince-Édouard|1|ados adultes aines
Quel pont relie l'Île-du-Prince-Édouard au continent ?|Confédération|2|ados adultes aines
Quelle ville canadienne abrite la Tour CN ?|Toronto|1|enfants ados adultes aines
Quel lac canadien est le plus profond ?|Lac des Esclaves|3|adultes aines
Quelle rivière célèbre coule à Ottawa ?|L'Outaouais|1|ados adultes aines
Capitale de la Hongrie ?|Budapest|2|ados adultes aines
Capitale de la Thaïlande ?|Bangkok|2|ados adultes aines
Capitale du Vietnam ?|Hanoï|2|ados adultes aines
Capitale du Pérou ?|Lima|2|ados adultes aines
Capitale du Chili ?|Santiago|2|ados adultes aines
Capitale de la Nouvelle-Zélande ?|Wellington|3|adultes aines
Quel désert chilien est le plus aride du monde ?|L'Atacama|3|adultes aines
Quelle est la plus grande île de la Méditerranée ?|La Sicile|2|ados adultes aines
Quel état américain est surnommé le Golden State ?|La Californie|2|ados adultes aines
Dans quel état américain se trouve Las Vegas ?|Le Nevada|1|ados adultes aines
Dans quel pays se trouve le Kilimandjaro ?|La Tanzanie|3|adultes aines
Quel lac est le plus profond du monde ?|Le Baïkal|3|adultes aines
Quel fleuve russe est le plus long d'Europe ?|La Volga|2|ados adultes aines
Quelle chaîne de montagnes sépare la France de l'Espagne ?|Les Pyrénées|1|ados adultes aines
Quel pays a Kaboul pour capitale ?|L'Afghanistan|2|ados adultes aines
Quel pays a Bagdad pour capitale ?|L'Irak|2|ados adultes aines
Quelle province canadienne borde le Pacifique ?|Colombie-Britannique|1|ados adultes aines
Quel archipel espagnol se trouve au large du Maroc ?|Les Canaries|2|ados adultes aines
Quel est le plus grand lac d'Afrique ?|Le lac Victoria|2|ados adultes aines
Quel fleuve traverse l'Allemagne et se jette à Rotterdam ?|Le Rhin|2|ados adultes aines

=== hors firmware ===

#
# ─── geographie ───
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Sur quel continent se trouve le Canada ?|L'Amérique du Nord|1|enfants ados adultes aines
Quel pays se trouve juste au sud du Canada ?|Les États-Unis|1|enfants ados adultes aines
Combien y a-t-il de continents sur Terre ?|Sept|1|enfants ados adultes aines
Dans quelle province se trouve Montréal ?|Le Québec|1|enfants ados adultes aines
Quel océan traverse-t-on en avion pour aller du Canada à la France ?|L'Atlantique|1|enfants ados adultes aines
Dans quel pays se trouve la ville de New York ?|Les États-Unis|1|enfants ados adultes aines
Quelle langue parle-t-on aux États-Unis ?|L'anglais|1|enfants ados adultes aines
Quel pays est célèbre pour ses tacos et ses sombreros ?|Le Mexique|1|enfants ados adultes aines
Sur quel continent se trouve le désert du Sahara ?|L'Afrique|1|enfants ados adultes aines
Quel pays d'Europe est célèbre pour ses montres, son chocolat et ses Alpes ?|La Suisse|1|enfants ados adultes aines
Quel point le plus au nord de la Terre est le domicile du père Noël ?|Le pôle Nord|1|enfants ados adultes aines
Quel objet en forme de boule qui tourne montre tous les pays du monde ?|Le globe terrestre|1|enfants ados adultes aines
Comment appelle-t-on un dessin qui représente un pays ou une ville vus d'en haut ?|Une carte|1|enfants ados adultes aines
Quelle est la plus grande ville du Québec ?|Montréal|1|enfants ados adultes aines
Quel État américain chaud accueille Disney World ?|La Floride|1|enfants ados adultes aines
Quelle province canadienne est voisine du Québec, à l'ouest ?|L'Ontario|1|enfants ados adultes aines
Quelle province canadienne est voisine du Québec, à l'est, avec Fredericton pour capitale ?|Le Nouveau-Brunswick|1|enfants ados adultes aines
De quel côté se lève le soleil ?|À l'est|1|enfants ados adultes aines
De quel côté se couche le soleil ?|À l'ouest|1|enfants ados adultes aines
Quel pays d'Europe est célèbre pour ses moulins à vent et ses tulipes ?|Les Pays-Bas|1|enfants ados adultes aines
Dans quel pays se trouve Londres ?|L'Angleterre|1|enfants ados adultes aines
Dans quel pays se tient le grand carnaval de Rio ?|Le Brésil|1|enfants ados adultes aines
Quelle grande ville américaine abrite la statue de la Liberté ?|New York|1|enfants ados adultes aines
Quel pays a un drapeau bleu, blanc et rouge à trois bandes verticales ?|La France|1|enfants ados adultes aines
Combien y a-t-il de pôles sur la Terre ?|Deux|1|enfants ados adultes aines
Quelle étendue d'eau salée immense sépare les continents ?|L'océan|1|enfants ados adultes aines
