# Catégorie : Cinéma et télé
# Emoji : 🎬
# Firmware : 6
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Quel chien accompagne Dorothy dans le Magicien d'Oz ?|Toto|2|adultes aines
Quel réalisateur a fait E.T. et Jurassic Park ?|Spielberg|2|adultes aines
Quel réalisateur canadien a fait Titanic et Avatar ?|James Cameron|2|adultes aines
Quel réalisateur a fait Psychose et Les Oiseaux ?|Hitchcock|2|aines
Quel film de Disney suit un éléphant aux grandes oreilles ?|Dumbo|1|enfants ados adultes aines
Quel faon Disney perd sa mère dans la forêt ?|Bambi|1|enfants ados adultes aines
Quelle chienne partage un spaghetti avec un clochard ?|Lady|1|enfants ados adultes aines
Quel film Disney suit 101 chiens tachés ?|Les 101 Dalmatiens|1|enfants ados adultes aines
Quelle méchante veut un manteau en dalmatiens ?|Cruella|1|enfants ados adultes aines
Quel ours du Livre de la jungle chante Il en faut peu ?|Baloo|1|enfants ados adultes aines
Quel garçon est élevé par les loups dans la jungle ?|Mowgli|1|enfants ados adultes aines
Quelle panthère noire protège Mowgli ?|Bagheera|1|enfants ados adultes aines
Quel roi lion est le père de Simba ?|Mufasa|1|enfants ados adultes aines
Quel oncle jaloux trahit Mufasa ?|Scar|1|enfants ados adultes aines
Quel phacochère accompagne Timon ?|Pumbaa|1|enfants ados adultes aines
Que veut dire Hakuna Matata ?|Pas de souci|1|enfants ados adultes aines
Quelle princesse Disney vit avec sept nains ?|Blanche-Neige|1|enfants ados adultes aines
Quel objet empoisonné croque Blanche-Neige ?|Une pomme|1|enfants ados adultes aines
Quelle princesse amérindienne chante L'air du vent ?|Pocahontas|1|enfants ados adultes aines
Quelle héroïne chinoise se déguise en soldat ?|Mulan|1|enfants ados adultes aines
Quelle princesse polynésienne navigue avec Maui ?|Moana|1|enfants ados adultes aines
Quelle princesse Disney se transforme en grenouille ?|Tiana|2|ados adultes aines
Quel cowboy jouet a un serpent dans sa botte ?|Woody|1|enfants ados adultes aines
Quel dinosaure vert craintif vit dans Toy Story ?|Rex|1|enfants ados adultes aines
Quel poisson-clown cherche son fils dans l'océan ?|Marin|1|enfants ados adultes aines
Quel rat cuisine dans un grand restaurant parisien ?|Rémy|1|enfants ados adultes aines
Quel robot nettoyeur tombe amoureux d'EVE ?|WALL-E|1|enfants ados adultes aines
Quel film Pixar se passe dans la tête de Riley ?|Sans dessus dessous|1|enfants ados adultes aines
Quel film Pixar suit une voiture de course rouge ?|Les Bagnoles|1|enfants ados adultes aines
Comment s'appelle la voiture de course des Bagnoles ?|Flash McQueen|1|enfants ados adultes aines
Quelle dépanneuse rouillée est l'amie de Flash McQueen ?|Mater|1|enfants ados adultes aines
Quelle suite de Nemo suit la mémoire de Dory ?|Trouver Doris|1|enfants ados adultes aines
Quel escargot de course devient ultra rapide au cinéma ?|Turbo|2|enfants ados
Quel ogre vert a une femme nommée Fiona ?|Shrek|1|enfants ados adultes aines
# Question circulaire : elle nommait déjà l'Âne.
Quel animal est l'Âne dans Shrek ?|Un âne|1|enfants ados adultes aines
> Quel animal de ferme, très bavard, accompagne Shrek partout ?|L'âne
Quel chat botté a de grands yeux attendrissants ?|Chat Potté|1|enfants ados adultes aines
Quel duo formaient Claude Meunier et Serge Thériault ?|Ding et Dong|2|adultes aines
Quelle télésérie québécoise raconte Séraphin Poudrier ?|Les Belles Histoires|2|aines
Quel avare célèbre du terroir québécois aime son argent ?|Séraphin|1|adultes aines
Quel roman de Roger Lemelin suit une famille de Québec ?|Les Plouffe|3|aines
Quelle émission québécoise a des fauteuils qui pivotent ?|La Voix|1|enfants ados adultes aines
Quel animateur québécois a longtemps animé Tout le monde en parle ?|Guy A. Lepage|1|enfants ados adultes aines
Quel groupe québécois a parodié les années 80 à la télé ?|RBO|2|adultes aines
Quelle télésérie québécoise suit des détenues ?|Unité 9|1|enfants ados adultes aines
Quelle série animée québécoise suit un garçon chauve de 4 ans ?|Caillou|1|enfants ados adultes aines
Quelle télésérie québécoise suit une équipe de hockey de garage ?|Les Boys|1|enfants ados adultes aines
Quel duo de La Petite Vie dort debout ?|Popa et Moman|1|enfants ados adultes aines
Quel personnage jeunesse parlait à sa marionnette Bobinette ?|Bobino|2|aines
Quel clown poète québécois avait un complice nommé Gobelet ?|Sol|2|adultes aines
Quelle émission fait courir des duos autour du monde ?|Amazing Race|1|enfants ados adultes aines
Quel jeu télévisé fait tourner une grande roue ?|La Roue de fortune|1|adultes aines
Quel jeu télévisé québécois offrait des valises à ouvrir ?|Le Banquier|1|adultes aines
Quelle animatrice québécoise animait Le Banquier ?|Julie Snyder|1|adultes aines
Quelle série américaine suit un bureau de vente de papier ?|The Office|1|ados adultes
Quelle série suit la famille royale anglaise ?|The Crown|2|adultes aines
Quelle série coréenne met en scène des jeux mortels ?|Squid Game|1|ados adultes
Quelle série de science-fiction se passe à Hawkins ?|Stranger Things|1|enfants ados adultes
Quel monstre menace les enfants de Stranger Things ?|Le Démogorgon|2|ados adultes
Quelle série suit un professeur de chimie nommé Walter White ?|Breaking Bad|1|ados adultes
Quel jeune partenaire aide Walter White ?|Jesse Pinkman|2|ados adultes
Quelle sitcom suit des physiciens et leur voisine Penny ?|Big Bang Theory|1|ados adultes
Quel mot répète Sheldon en cognant à la porte ?|Penny|1|ados adultes
Quelle série animée suit une famille jaune de Springfield ?|Les Simpson|1|enfants ados adultes aines
Comment s'appelle le père des Simpson ?|Homer|1|enfants ados adultes aines
Quelle exclamation lance Homer Simpson ?|D'oh|1|enfants ados adultes aines
Comment s'appelle le voisin trop gentil des Simpson ?|Ned Flanders|1|enfants ados adultes aines
Quelle série animée suit Stewie et Peter Griffin ?|Family Guy|2|ados adultes
Quel père de famille travaille dans une centrale nucléaire ?|Homer Simpson|1|enfants ados adultes aines
Quelle éponge jaune vit dans un ananas sous la mer ?|Bob l'éponge|1|enfants ados adultes aines
Quel ami étoile de mer accompagne Bob l'éponge ?|Patrick|1|enfants ados adultes aines
Quel garçon a une casquette rouge et chasse des Pokémon ?|Sacha|1|enfants ados adultes
Quel Pokémon jaune lance des éclairs ?|Pikachu|1|enfants ados adultes
Quel chat robot bleu vient du futur ?|Doraemon|3|ados adultes
Quelle famille préhistorique conduit une voiture à pédales ?|Les Pierrafeu|1|adultes aines
Comment s'appelle le meilleur ami de Fred Caillou ?|Arthur Laroche|2|aines
Quelle famille du futur a un robot ménagère nommée Rosie ?|Les Jetson|2|adultes aines
Quel superhéros enfile son costume dans une cabine téléphonique ?|Superman|1|enfants ados adultes aines
Quel journaliste est l'identité secrète de Superman ?|Clark Kent|1|enfants ados adultes aines
Quelle journaliste aime Clark Kent ?|Lois Lane|1|enfants ados adultes aines
Quel majordome sert Bruce Wayne ?|Alfred|1|enfants ados adultes aines
Quel acolyte de Batman porte un costume rouge et vert ?|Robin|1|enfants ados adultes aines
Quel clown est l'ennemi juré de Batman ?|Le Joker|1|enfants ados adultes aines
Quelle amazone a un lasso de vérité ?|Wonder Woman|1|enfants ados adultes aines
Quel héros court plus vite que tout le monde en rouge ?|Flash|1|enfants ados adultes aines
Quel roi des mers parle aux poissons ?|Aquaman|1|enfants ados adultes aines
Quel milliardaire Marvel a un réacteur dans la poitrine ?|Tony Stark|1|enfants ados adultes aines
Quel soldat Marvel porte un bouclier étoilé ?|Captain America|1|enfants ados adultes aines
Quel héros Marvel rétrécit à la taille d'une fourmi ?|Ant-Man|1|enfants ados adultes aines
Quel méchant Marvel claque des doigts avec un gant ?|Thanos|1|enfants ados adultes aines
Combien de pierres d'infinité orne le gant de Thanos ?|Six|2|ados adultes aines
Quel groupe de héros défend la galaxie avec un raton laveur ?|Les Gardiens|1|enfants ados adultes aines
Quel arbre des Gardiens ne dit que trois mots ?|Groot|1|enfants ados adultes aines
Quel héros mutant a des griffes en adamantium ?|Wolverine|1|enfants ados adultes aines
Quelle école accueille les jeunes mutants ?|École de Xavier|2|ados adultes aines
Quel agent secret britannique aime les martinis ?|James Bond|1|enfants ados adultes aines
Quel acteur écossais fut le premier James Bond ?|Sean Connery|2|adultes aines
Quel espion maladroit est l'agent 86 ?|Maxwell Smart|2|aines
Quel félin de dessin animé est né d'un générique de film ?|La Panthère rose|2|adultes aines
Quel inspecteur maladroit poursuit la Panthère rose ?|Clouseau|2|adultes aines
Comment s'appelle le meilleur ami roux de Harry Potter ?|Ron Weasley|1|enfants ados adultes aines
Quelle amie brillante accompagne Harry et Ron ?|Hermione|1|enfants ados adultes aines
Quel directeur de Poudlard a une longue barbe blanche ?|Dumbledore|1|enfants ados adultes aines
Quelle princesse de Star Wars est la sœur de Luke ?|Leia|1|enfants ados adultes aines
Quel wookiee copilote le Faucon Millénium ?|Chewbacca|1|enfants ados adultes aines
Quelle actrice joue Rose dans Titanic ?|Kate Winslet|2|adultes aines
Quel acteur autrichien joue Terminator ?|Schwarzenegger|1|enfants ados adultes aines
Quel acteur joue Forrest Gump ?|Tom Hanks|2|adultes aines
Quel acteur incarne Rocky Balboa ?|Stallone|1|adultes aines
Quelle exploratrice a un singe nommé Babouche ?|Dora|1|enfants ados
Quelle série animée suit des chiots sauveteurs ?|Pat' Patrouille|1|enfants
Quelle série animée japonaise suit Son Goku ?|Dragon Ball|1|ados adultes
Quel ninja blond rêve de devenir Hokage ?|Naruto|1|enfants ados
Quelle souris Disney est l'amoureuse de Mickey ?|Minnie|1|enfants ados adultes aines
Quel canard Disney porte un costume marin ?|Donald|1|enfants ados adultes aines
Quel est le chien de compagnie de Mickey ?|Pluto|1|enfants ados adultes aines
Quel film Disney de 2013 chante Libérée, délivrée ?|La Reine des neiges|1|enfants ados adultes aines
Quel médecin grincheux de série boite avec une canne ?|Dr House|2|adultes aines
Quelle voiture emblématique conduit James Bond ?|Aston Martin|2|ados adultes aines
Quel studio japonais a créé Mon voisin Totoro ?|Ghibli|3|ados adultes
Quel cowboy de BD tire plus vite que son ombre ?|Lucky Luke|1|adultes aines
Quels quatre frères bandits affrontent Lucky Luke ?|Les Dalton|1|adultes aines
Quel méchant sorcier des Schtroumpfs a un chat ?|Gargamel|1|adultes aines

=== hors firmware ===

#
# ─── cinema-et-tele ───
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Quel jouet de Toy Story est une patate avec des pièces à enlever ?|Monsieur Patate|1|enfants ados adultes aines
Quel lapin de dessin animé croque une carotte en disant « Quoi de neuf, docteur ? » ?|Bugs Bunny|1|enfants ados adultes aines
Quel canard noir est le rival de Bugs Bunny ?|Daffy Duck|1|enfants ados adultes aines
Quel oiseau de dessin animé file à toute vitesse en faisant « bip bip » ?|Bip Bip|1|enfants ados adultes aines
Quel coyote n'arrive jamais à attraper Bip Bip ?|Vil Coyote|1|enfants ados adultes aines
Quel chat de dessin animé court après la souris Jerry ?|Tom|1|enfants ados adultes aines
Quel petit oiseau jaune échappe toujours au chat Grosminet ?|Titi|1|enfants ados adultes aines
Quel ours brun de dessin animé vole des paniers de pique-nique ?|Yogi|1|adultes aines
Quel ourson jaune raffole du miel ?|Winnie l'ourson|1|enfants ados adultes aines
Quel ami de Winnie l'ourson est un petit cochon rose ?|Porcinet|1|enfants ados adultes aines
Quel ami de Winnie l'ourson est un tigre qui bondit sur sa queue ?|Tigrou|1|enfants ados adultes aines
Quel ami de Winnie l'ourson est un âne toujours triste ?|Bourriquet|1|enfants ados adultes aines
Quel personnage de Sesame Street est un grand oiseau jaune ?|Big Bird|1|enfants adultes aines
Quel petit robot orange et blanc roule en forme de boule dans Star Wars ?|BB-8|1|enfants ados adultes
Quelle petite cochonne rose de la télé adore sauter dans les flaques de boue ?|Peppa Pig|1|enfants
Dans quel film d'animation un lion, une girafe, un zèbre et un hippopotame s'échappent-ils d'un zoo de New York ?|Madagascar|1|enfants ados adultes
Dans quel film d'animation un mammouth, un paresseux et un tigre à dents de sabre voyagent-ils ensemble ?|L'Ère de glace|1|enfants ados adultes
Quel écureuil de L'Ère de glace court sans cesse après son gland ?|Scrat|1|enfants ados adultes
Quel film de 1977 s'ouvre sur « Il y a bien longtemps, dans une galaxie lointaine » ?|La Guerre des étoiles|1|enfants ados adultes aines
Quelle princesse Mario doit-il sauver ?|Peach|1|enfants ados adultes aines
Quel gorille géant grimpe l'Empire State Building au cinéma ?|King Kong|1|ados adultes aines
Quel monstre géant venu du Japon écrase des villes au cinéma ?|Godzilla|1|ados adultes aines
Quel légume la marraine de Cendrillon transforme-t-elle en carrosse ?|La citrouille|1|enfants ados adultes aines
Quel animal est Abu, l'ami d'Aladin ?|Un singe|1|enfants ados adultes aines
Quel animal est Pascal, l'ami de Raiponce ?|Un caméléon|1|enfants ados adultes aines
Quel animal est Sven dans La Reine des neiges ?|Un renne|1|enfants ados adultes aines
Comment s'appelle la petite sœur d'Elsa ?|Anna|1|enfants ados adultes aines
Quel animal est Sébastien dans La Petite Sirène ?|Un crabe|1|enfants ados adultes aines
Quel chiot dalmatien de la Pat' Patrouille est pompier ?|Marcus|1|enfants
Quel chiot berger allemand de la Pat' Patrouille est policier ?|Chase|1|enfants
Quel garçon dirige la Pat' Patrouille ?|Ryder|1|enfants
Dans quel film de Noël un garçon oublié à la maison piège deux cambrioleurs ?|Maman, j'ai raté l'avion|1|enfants ados adultes aines
Dans quel film de Noël un train magique emmène-t-il des enfants au pôle Nord ?|Le Pôle Express|1|enfants ados adultes aines
Quel film d'animation organise un grand concours de chant entre animaux ?|Tous en scène|1|enfants ados
Quel chien de dessin animé est le compagnon de Charlie Brown ?|Snoopy|1|adultes aines
Quel garçon au chandail à zigzag est le maître de Snoopy ?|Charlie Brown|1|adultes aines
Quel film d'animation raconte une princesse écossaise aux cheveux roux qui tire à l'arc ?|Rebelle|1|enfants ados adultes
Quel film d'animation raconte un garçon qui rejoint le pays des morts avec sa guitare ?|Coco|1|enfants ados adultes
Quel film d'animation suit une lapine policière et un renard rusé dans une ville d'animaux ?|Zootopia|1|enfants ados adultes
Quel film d'animation met en scène Dracula et sa famille de monstres dans un hôtel ?|Hôtel Transylvanie|1|enfants ados adultes
Quel cochon de cinéma veut devenir chien de berger ?|Babe|1|adultes aines
Quel gros chien rouge de livres pour enfants est devenu un film ?|Clifford|1|enfants
Comment s'appellent les trois neveux de Donald ?|Riri, Fifi et Loulou|1|enfants ados adultes aines
