# Catégorie : Culture générale
# Emoji : 💡
# Firmware : 0
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Quel professionnel défend les accusés ?|L'avocat|1|ados adultes aines
Quelle science étudie les astres ?|L'astronomie|1|enfants ados adultes aines
Quelle science étudie les vestiges anciens ?|L'archéologie|1|enfants ados adultes aines
Quelle science étudie les animaux ?|La zoologie|1|enfants ados adultes aines
Quelle science étudie les plantes ?|La botanique|1|enfants ados adultes aines
Quel arbre produit des glands ?|Le chêne|1|enfants ados adultes aines
Quelle fleur offre-t-on à la Saint-Valentin ?|La rose|1|enfants ados adultes aines
Quel événement célèbre-t-on le 25 décembre ?|Noël|1|enfants ados adultes aines
Quelle fête des déguisements a lieu le 31 octobre ?|L'Halloween|1|enfants ados adultes aines
Quel animal cache des œufs à Pâques ?|Le lapin|1|enfants ados adultes aines
Quel musée parisien abrite la Vénus de Milo ?|Le Louvre|2|ados adultes aines
# Le jeu de tarot ne se joue pas ici, et « tarot » y désigne les cartes de
# voyance : la réponse attendue est fausse pour la salle.
Quel jeu de cartes se joue avec 78 cartes et des atouts ?|Le tarot|3|adultes aines
- Jeu inconnu au Québec, et le mot y désigne autre chose.
Qui soigne les dents ?|Le dentiste|1|enfants ados adultes aines
Quel dieu grec règne sur l'Olympe ?|Zeus|1|ados adultes aines
Quel dieu grec règne sur les mers ?|Poséidon|1|ados adultes aines
Quel dieu grec règne sur les enfers ?|Hadès|2|ados adultes aines
Quelle déesse grecque est née de l'écume ?|Aphrodite|2|ados adultes aines
Quel héros grec a accompli douze travaux ?|Hercule|1|ados adultes aines
Quel monstre grec pétrifie du regard ?|Méduse|1|ados adultes aines
Quel cheval mythologique a des ailes ?|Pégase|1|ados adultes aines
Quel oiseau mythique renaît de ses cendres ?|Le phénix|1|ados adultes aines
Quelle créature est mi-homme mi-cheval ?|Le centaure|1|ados adultes aines
Quel géant mythologique n'a qu'un seul œil ?|Le cyclope|1|ados adultes aines
Qui a écrit L'Odyssée ?|Homère|2|adultes aines
Quel héros de Jules Verne fait le tour du monde en 80 jours ?|Phileas Fogg|2|adultes aines
Qui a écrit Vingt mille lieues sous les mers ?|Jules Verne|2|adultes aines
Quel capitaine commande le sous-marin Nautilus ?|Nemo|2|adultes aines
Quel bossu sonne les cloches de Notre-Dame ?|Quasimodo|1|ados adultes aines
Quelle orpheline rousse vit aux Pignons verts ?|Anne|1|adultes aines
Qui a écrit Les Trois Mousquetaires ?|Alexandre Dumas|2|adultes aines
Quel écrivain russe a écrit Guerre et Paix ?|Tolstoï|3|adultes aines
Quelle romancière a créé Hercule Poirot ?|Agatha Christie|2|adultes aines
Quel auteur américain a créé Tom Sawyer ?|Mark Twain|2|adultes aines
Quelle autrice a écrit Harry Potter ?|J.K. Rowling|1|enfants ados adultes
Quel peintre espagnol peignait des montres molles ?|Dalí|2|adultes aines
Quel artiste a peint le plafond de la chapelle Sixtine ?|Michel-Ange|2|adultes aines
Quelle statue de Michel-Ange représente un roi biblique ?|David|2|adultes aines
Quel peintre français a peint des nénuphars à Giverny ?|Monet|2|adultes aines
Quel sculpteur a créé Le Penseur ?|Rodin|2|adultes aines
Combien de couleurs sur le drapeau français ?|Trois|1|ados adultes aines
Quelles sont les couleurs du drapeau italien ?|Vert blanc rouge|1|ados adultes aines
Quel pays a un cercle rouge sur fond blanc ?|Le Japon|1|ados adultes aines
Quel pays a un drapeau non rectangulaire ?|Le Népal|3|adultes aines
Quel instrument d'écriture contient du graphite ?|Le crayon|1|enfants ados adultes aines
Quel système de lecture pour aveugles porte le nom de son inventeur ?|Le braille|1|ados adultes aines
Qui a inventé le World Wide Web ?|Tim Berners-Lee|3|adultes aines
Quelle entreprise a créé l'iPhone ?|Apple|1|enfants ados adultes aines
# Ambigu : Paul Allen aussi.
Qui a cofondé Microsoft ?|Bill Gates|1|enfants ados adultes aines
> Quel milliardaire a cofondé Microsoft avec Paul Allen ?|Bill Gates
Quel moteur de recherche est le plus utilisé au monde ?|Google|1|enfants ados adultes aines
Combien de bits dans un octet ?|Huit|2|ados adultes aines
Quel jeu vidéo met en scène un plombier moustachu ?|Mario|1|enfants ados adultes
Quel hérisson bleu court très vite en jeu vidéo ?|Sonic|1|enfants ados adultes
Quel jeu vidéo consiste à empiler des blocs qui tombent ?|Tetris|1|enfants ados adultes aines
Quel jeu vidéo se joue avec des cubes à construire ?|Minecraft|1|enfants ados
Quel jeu de société fait acheter des rues ?|Monopoly|1|enfants ados adultes aines
Dans quel jeu doit-on deviner un mot dessiné ?|Pictionary|1|enfants ados adultes aines
Quel jeu consiste à couler des navires adverses ?|Bataille navale|1|enfants ados adultes aines
Quel jeu se joue avec cinq dés et des combinaisons ?|Le Yum (Yahtzee)|1|enfants ados adultes aines
Combien de dominos dans un jeu standard ?|28|2|ados adultes aines
Combien de pièces dans un jeu d'échecs complet ?|32|2|ados adultes aines
Quel casse-tête cubique a six couleurs ?|Le cube Rubik|1|enfants ados adultes aines
Quel métier répare les tuyaux ?|Le plombier|1|enfants ados adultes aines
Quel métier éteint les incendies ?|Le pompier|1|enfants ados adultes aines
Quel métier fabrique le pain ?|Le boulanger|1|enfants ados adultes aines
Quel métier ferre les chevaux ?|Le maréchal-ferrant|2|ados adultes aines
Quel médecin opère les patients ?|Le chirurgien|1|enfants ados adultes aines
Combien de minutes dans une journée ?|1440|2|ados adultes aines
Combien de secondes dans une heure ?|3600|2|ados adultes aines
Combien de jours dans un mois de février normal ?|28|1|enfants ados adultes aines
Quel mois porte le nom de Jules César ?|Juillet|2|ados adultes aines
Quel mois porte le nom de l'empereur Auguste ?|Août|2|ados adultes aines
Quel jour de la semaine porte le nom de la Lune ?|Lundi|2|ados adultes aines
Quelle est la quatrième lettre de l'alphabet grec ?|Delta|2|ados adultes aines
Combien de degrés dans un angle droit ?|90|1|enfants ados adultes aines
Combien de degrés dans un cercle complet ?|360|1|enfants ados adultes aines
Combien de faces a une pyramide à base carrée ?|Cinq|2|ados adultes aines
Comment nomme-t-on un 1 suivi de neuf zéros ?|Un milliard|1|enfants ados adultes aines
Quel symbole mathématique ressemble à un 8 couché ?|L'infini|1|enfants ados adultes aines
Quelle opération est l'inverse de la multiplication ?|La division|1|enfants ados adultes aines
Quelle carte est la plus forte au poker ?|L'as|1|ados adultes aines
Combien de jokers dans un paquet de cartes ?|Deux|1|enfants ados adultes aines
Combien d'enseignes dans un jeu de cartes ?|Quatre|1|ados adultes aines
Quel animal est surnommé le roi de la jungle ?|Le lion|1|enfants ados adultes aines
Quel oiseau est le symbole de la paix ?|La colombe|1|enfants ados adultes aines
Quel rameau symbolise la paix ?|L'olivier|2|ados adultes aines
Quelle plante à quatre feuilles porte chance ?|Le trèfle|1|enfants ados adultes aines
Quel chiffre porte malheur en Occident ?|13|1|enfants ados adultes aines
Quel objet cassé porte sept ans de malheur ?|Le miroir|1|ados adultes aines
Sous quel objet ne faut-il pas passer selon la superstition ?|Une échelle|1|ados adultes aines
# « Noir » était donné ; il ne restait que l'animal à trouver.
Quel animal noir porterait malheur ?|Le chat noir|1|enfants ados adultes aines
> Quel animal, s'il croise votre chemin, porterait malheur ?|Le chat noir
Que trouve-t-on au pied de l'arc-en-ciel selon la légende ?|Un chaudron d'or|1|enfants ados adultes aines
# Le mot anglais est celui que la salle va crier.
Quelle créature irlandaise garde un trésor ?|Le farfadet|2|ados adultes aines
> Quelle créature irlandaise garde un trésor ?|Le farfadet (leprechaun)
Quel renne du père Noël a le nez rouge ?|Rudolphe|1|enfants ados adultes aines
Quelle fête célèbre l'amour le 14 février ?|La Saint-Valentin|1|enfants ados adultes aines
# La question nommait Pise, la réponse était « la tour de Pise ».
Quel monument de Pise est célèbre pour son inclinaison ?|La tour de Pise|1|ados adultes aines
> Quel monument italien penche dangereusement depuis des siècles ?|La tour de Pise
Quel mausolée indien est tout de marbre blanc ?|Le Taj Mahal|2|ados adultes aines
Quelle merveille antique se trouvait à Babylone ?|Jardins suspendus|3|adultes aines
Quelle merveille antique gardait le port de Rhodes ?|Le colosse|3|adultes aines
Quelle grande horloge domine Londres ?|Big Ben|1|ados adultes aines
Quel palais habite le président français ?|L'Élysée|2|adultes aines
Quelle maison habite le président américain ?|La Maison-Blanche|1|enfants ados adultes aines
- Politique américaine : siège du gouvernement.
Dans quel palais londonien vit le roi d'Angleterre ?|Buckingham|1|ados adultes aines
Quel géant de bois cache des soldats grecs ?|Le cheval de Troie|1|ados adultes aines
Quel roi légendaire cherchait le Graal ?|Le roi Arthur|1|ados adultes aines
Quelle épée légendaire appartenait au roi Arthur ?|Excalibur|1|ados adultes aines
Quel magicien conseillait le roi Arthur ?|Merlin|1|ados adultes aines
Quel hors-la-loi anglais volait aux riches pour les pauvres ?|Robin des Bois|1|ados adultes aines
Dans quelle forêt vivait Robin des Bois ?|Sherwood|2|adultes aines
Quel marin de conte a fait sept voyages ?|Sinbad|2|adultes aines
Quel personnage de conte a une lampe magique ?|Aladin|1|enfants ados adultes aines
Combien de vœux accorde le génie de la lampe ?|Trois|1|enfants ados adultes aines
Qui apporte une galette à sa grand-mère malade ?|Chaperon rouge|1|enfants ados adultes aines
Combien de côtés a un octogone ?|Huit|1|enfants ados adultes aines
Combien de côtés a un pentagone ?|Cinq|1|enfants ados adultes aines
Combien font X en chiffres romains ?|Dix|1|ados adultes aines
Combien font C en chiffres romains ?|100|2|ados adultes aines
Quel objet indique l'heure grâce à une ombre ?|Cadran solaire|1|enfants ados adultes aines
Quel instrument mesure le temps avec du sable ?|Le sablier|1|enfants ados adultes aines
Quelle déesse grecque a donné son nom à Athènes ?|Athéna|1|ados adultes aines
Quel dieu grec messager porte des sandales ailées ?|Hermès|2|ados adultes aines
Quel titan grec porte le ciel sur ses épaules ?|Atlas|2|ados adultes aines
Quel roi mythique change en or tout ce qu'il touche ?|Midas|2|adultes aines
Qui a ouvert la boîte qui libérait tous les maux ?|Pandore|1|adultes aines
Quel chien à trois têtes garde les enfers ?|Cerbère|2|ados adultes aines
Quel pantin de bois voit son nez s'allonger ?|Pinocchio|1|enfants ados adultes aines
Quelle fillette de roman visite le pays des merveilles ?|Alice|1|enfants ados adultes aines
Quel écrivain anglais a créé Oliver Twist ?|Charles Dickens|2|adultes aines
Quel dessinateur belge a créé Tintin ?|Hergé|2|adultes aines
Quel chien accompagne Astérix et Obélix ?|Idéfix|1|ados adultes aines
Quel druide prépare la potion magique des Gaulois ?|Panoramix|1|ados adultes aines
Combien de cases compte une grille de tic-tac-toe ?|Neuf|1|enfants ados adultes aines
Aux échecs, quelle pièce se déplace en L ?|Le cavalier|1|ados adultes aines

=== hors firmware ===

#
# ─── culture-generale ───
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Combien de côtés a un carré ?|Quatre|1|enfants ados adultes aines
Combien de jours dans une semaine ?|Sept|1|enfants ados adultes aines
Combien de mois dans une année ?|Douze|1|enfants ados adultes aines
Combien de doigts a-t-on sur une main ?|Cinq|1|enfants ados adultes aines
Quelle couleur obtient-on en mélangeant du bleu et du jaune ?|Vert|1|enfants ados adultes aines
Quelle couleur obtient-on en mélangeant du rouge et du blanc ?|Rose|1|enfants ados adultes aines
Quelle couleur obtient-on en mélangeant du rouge et du jaune ?|Orange|1|enfants ados adultes aines
Combien de minutes dans une heure ?|60|1|enfants ados adultes aines
Combien de secondes dans une minute ?|60|1|enfants ados adultes aines
Quel jour de la semaine vient après vendredi ?|Samedi|1|enfants ados adultes aines
Quel mois vient après mars ?|Avril|1|enfants ados adultes aines
Combien de saisons compte une année ?|Quatre|1|enfants ados adultes aines
De quelle couleur est le feu de circulation qui dit d'arrêter ?|Rouge|1|enfants ados adultes aines
Quel personnage descend par la cheminée pour laisser des cadeaux ?|Le père Noël|1|enfants ados adultes aines
Qui laisse de l'argent sous l'oreiller en échange d'une dent ?|La fée des dents|1|enfants ados adultes aines
Quel objet ouvre-t-on pour se protéger de la pluie ?|Un parapluie|1|enfants ados adultes aines
Combien de roues a une bicyclette ?|Deux|1|enfants ados adultes aines
Quel objet porté au poignet donne l'heure ?|Une montre|1|enfants ados adultes aines
Que colle-t-on sur une enveloppe avant de la poster ?|Un timbre|1|enfants ados adultes aines
Aux échecs, quelle pièce faut-il mettre échec et mat pour gagner ?|Le roi|1|enfants ados adultes aines
Dans quel jeu de société faut-il aligner quatre jetons de sa couleur ?|Puissance 4|1|enfants ados adultes aines
Quel jouet tourne sur lui-même quand on le lance ?|La toupie|1|enfants ados adultes aines
Quel jouet monte et descend au bout d'une ficelle ?|Le yo-yo|1|enfants ados adultes aines
Quelle est la dernière lettre de l'alphabet ?|Z|1|enfants ados adultes aines
Comment s'appelle la maison de brindilles que construit un oiseau ?|Un nid|1|enfants ados adultes aines
Comment s'appelle une maison faite de blocs de neige ?|Un igloo|1|enfants ados adultes aines
Comment appelle-t-on le grand navire qui emmène des passagers en croisière ?|Un paquebot|1|enfants ados adultes aines
Quel véhicule vole grâce à une grande hélice sur le toit ?|L'hélicoptère|1|enfants ados adultes aines
Quel véhicule roule sur des rails ?|Le train|1|enfants ados adultes aines
Comment s'appelle la personne qui conduit un avion ?|Le pilote|1|enfants ados adultes aines
Quel animal figure sur la pièce de 25 cents canadienne ?|Le caribou|1|enfants ados adultes aines
Quel outil sert à planter un clou ?|Le marteau|1|enfants ados adultes aines
Quel outil sert à visser une vis ?|Le tournevis|1|enfants ados adultes aines
Comment surnomme-t-on la pièce canadienne de deux dollars ?|Le toonie|1|enfants ados adultes aines
Combien de cents y a-t-il dans un dollar ?|100|1|enfants ados adultes aines
De quelles couleurs est le drapeau du Canada ?|Rouge et blanc|1|enfants ados adultes aines
Dans quel conte un loup souffle-t-il sur des maisons de paille, de bois et de briques ?|Les Trois Petits Cochons|1|enfants ados adultes aines
Dans quel conte une princesse s'endort cent ans après s'être piqué le doigt ?|La Belle au bois dormant|1|enfants ados adultes aines
Quelle fillette de conte entre chez trois ours et goûte leur gruau ?|Boucle d'or|1|enfants ados adultes aines
Quel frère et quelle sœur de conte sèment des miettes de pain dans la forêt ?|Hansel et Gretel|1|enfants ados adultes aines
Dans quel conte un oisillon rejeté par les siens devient un magnifique cygne ?|Le vilain petit canard|1|enfants ados adultes aines
Quel animal nous donne la laine ?|Le mouton|1|enfants ados adultes aines
Que tisse l'araignée pour attraper les insectes ?|Une toile|1|enfants ados adultes aines
Combien font deux plus deux ?|Quatre|1|enfants ados adultes aines
Combien font dix fois dix ?|100|1|enfants ados adultes aines
Quelle forme a une pièce de monnaie ?|Ronde|1|enfants ados adultes aines
#
# ─── jeunes-jeux-et-internet ───
#
# Jeux vidéo, internet et réseaux sociaux : le monde des 10-30 ans. Ces
# questions sont FACILES POUR EUX et souvent opaques pour la table d'à côté,
# c'est exactement leur rôle. Format : Question|Réponse|niveau.
Quel monstre vert explose à côté du joueur dans Minecraft ?|Le creeper|1|enfants ados
Dans quel jeu vidéo cent joueurs s'affrontent-ils jusqu'au dernier survivant en construisant des murs ?|Fortnite|1|enfants ados
Sur quelle plateforme les jeunes jouent-ils à des millions de jeux créés par d'autres joueurs ?|Roblox|1|enfants ados
Quel jeu mobile fait attraper des créatures en marchant dans la vraie ville ?|Pokémon GO|1|enfants ados
Quel jeu de course de Nintendo se joue avec des carapaces et des pelures de banane ?|Mario Kart|1|enfants ados
Quel personnage habillé en vert est le frère de Mario ?|Luigi|1|enfants ados
Quel dinosaure vert sert de monture à Mario ?|Yoshi|1|enfants ados
Quelle grosse tortue à carapace épineuse enlève la princesse Peach ?|Bowser|1|enfants ados
Dans quel jeu faut-il démasquer l'imposteur à bord d'un vaisseau spatial ?|Among Us|1|enfants ados
Quelle console de Nintendo se joue en portable et se branche aussi à la télé ?|La Switch|1|enfants ados
Dans la série Zelda, comment s'appelle le héros vêtu de vert ?|Link|1|enfants ados
Dans quel jeu vidéo aménage-t-on une île en remboursant un raton laveur ?|Animal Crossing|1|enfants ados
Quel jeu de tir en équipe oppose des agents aux pouvoirs différents, sorti en 2020 ?|Valorant|2|enfants ados
Comment appelle-t-on les jeux vidéo joués en compétition professionnelle ?|L'esport|1|enfants ados
Sur quelle plateforme les joueurs diffusent-ils leurs parties en direct ?|Twitch|1|enfants ados
Comment appelle-t-on une personne qui joue en direct devant un public sur internet ?|Un streamer|1|enfants ados
Quelle application chinoise fait défiler de courtes vidéos verticales ?|TikTok|1|enfants ados
Sur quelle application les photos envoyées disparaissent-elles après quelques secondes ?|Snapchat|1|enfants ados
Quel réseau social publie des photos et des stories, avec un appareil photo comme logo ?|Instagram|1|enfants ados
Comment appelle-t-on une image drôle qui circule et se décline sur internet ?|Un mème|1|enfants ados
Que veut dire l'abréviation DM sur les réseaux sociaux ?|Un message privé|1|enfants ados
Comment appelle-t-on le mot-clic précédé du signe dièse ?|Un hashtag|1|enfants ados
Quelle intelligence artificielle répond en conversation depuis la fin de 2022 ?|ChatGPT|1|enfants ados
Quel jouet à trois branches tournait entre les doigts de tous les jeunes en 2017 ?|Le hand spinner|2|enfants ados
Quel personnage jaune et rond avale des points en fuyant des fantômes ?|Pac-Man|1|enfants ados
Quel casque de réalité virtuelle se porte sur les yeux pour entrer dans le jeu ?|Un casque VR|2|enfants ados
Quelle monnaie virtuelle s'achète pour habiller son personnage dans Fortnite ?|Les V-Bucks|2|enfants ados
Comment appelle-t-on la danse que fait un joueur pour narguer ses adversaires dans Fortnite ?|Une emote|2|enfants ados
