# Catégorie : Québec
# Emoji : ⚜️
# Firmware : 7
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Quel mont de l'Estrie abrite un observatoire célèbre ?|Le mont Mégantic|2|ados adultes aines
Quel parc national québécois protège des caribous ?|La Gaspésie|2|ados adultes aines
Quelle station de ski domine le fleuve dans Charlevoix ?|Le Massif|2|ados adultes aines
Quelle région québécoise occupe un cratère de météorite ?|Charlevoix|3|adultes aines
Quelle station de ski domine Stoneham et Québec ?|Mont-Sainte-Anne|2|ados adultes aines
Quel premier ministre québécois a lancé la Révolution tranquille ?|Jean Lesage|2|aines
Quel premier ministre québécois fut surnommé le Cheuf ?|Duplessis|2|aines
Quelle période sombre est associée à Duplessis ?|La Grande Noirceur|2|aines
Quel premier ministre a tenu le référendum de 1980 ?|René Lévesque|1|adultes aines
Combien de référendums sur la souveraineté a connus le Québec ?|Deux|1|adultes aines
En quelle année eut lieu le second référendum ?|1995|1|adultes aines
Quel premier ministre libéral a gouverné de 2003 à 2012 ?|Jean Charest|2|adultes aines
Quel parti a fondé François Legault ?|La CAQ|1|ados adultes aines
Quelle loi québécoise protège la langue française ?|La loi 101|1|adultes aines
Quel organisme veille sur la langue française au Québec ?|L'OQLF|1|ados adultes aines
Quel mois de 1970 a connu l'enlèvement de Pierre Laporte ?|Octobre|1|adultes aines
Quel drapeau québécois fut adopté en 1948 ?|Le fleurdelisé|1|adultes aines
Quelle fête du 1er juillet fait déménager les Québécois ?|Jour du déménagement|1|ados adultes aines
Quelle rôtisserie québécoise est célèbre pour son poulet BBQ ?|St-Hubert|1|enfants ados adultes aines
Quelle chaîne québécoise sert de la poutine 24 heures ?|La Belle Province|1|ados adultes aines
Quel restaurant montréalais est célèbre pour son smoked meat ?|Schwartz|1|ados adultes aines
Comment nomme-t-on un hot-dog cuit à la vapeur au Québec ?|Un steamé|1|enfants ados adultes aines
Quelle cabane à sucre célèbre appartient à un chef renommé ?|Au Pied de Cochon|2|ados adultes aines
Quel cidre québécois est pressé après les gelées ?|Cidre de glace|1|ados adultes aines
Quelle baie nordique québécoise parfume gins et confitures ?|La chicoutai|3|adultes aines
Quelle boisson alcoolisée réchauffe le Carnaval de Québec ?|Le caribou|1|ados adultes aines
Quel chansonnier a écrit Quand les hommes vivront d'amour ?|Raymond Lévesque|3|aines
Quel chanteur québécois a chanté Deux par deux rassemblés ?|Pierre Lapointe|2|ados adultes
Quel groupe québécois a chanté Dehors novembre ?|Les Colocs|2|adultes aines
Quel chanteur des Colocs est une légende ?|Dédé Fortin|2|adultes aines
Quel chanteur québécois a chanté La désise ?|Daniel Boucher|2|adultes aines
Quelle chanteuse rock québécoise a chanté Provocante ?|Marjo|2|adultes aines
Quel animateur québécois a animé La Poule aux œufs d'or ?|Guy Mongrain|2|adultes aines
Quel gala québécois récompense la télévision ?|Les Gémeaux|1|ados adultes aines
Quel gala québécois récompense le cinéma ?|Les Iris|2|ados adultes aines
Quel humoriste montréalais fait des spectacles bilingues ?|Sugar Sammy|1|ados adultes
Quel joueur des Canadiens fut surnommé le Démon blond ?|Guy Lafleur|1|adultes aines
Quel joueur des Canadiens fut surnommé le Gros Bill ?|Jean Béliveau|2|aines
Quel gardien des Canadiens a porté le premier masque ?|Jacques Plante|2|aines
Quelle émeute de 1955 porte le nom d'un joueur ?|Émeute Richard|2|aines
Quel joueur québécois des Penguins était surnommé le Magnifique ?|Mario Lemieux|1|adultes aines
Quel capitaine des Canadiens a soulevé la coupe en 1993 ?|Guy Carbonneau|2|adultes aines
Quel entraîneur légendaire des Canadiens s'appelait Scotty ?|Scotty Bowman|2|adultes aines
Quelle fête hivernale illumine le Vieux-Port de Montréal ?|Igloofest|1|ados adultes
Quel bonnet d'hiver porte un nom bien québécois ?|La tuque|1|enfants ados adultes aines
Quel mot québécois désigne le vélo ?|Un bicycle|1|enfants ados adultes aines
Quel mot québécois désigne la voiture ?|Un char|1|enfants ados adultes aines
Quel mot québécois désigne les moustiques ?|Les maringouins|1|enfants ados adultes aines
Quel mot québécois désigne une tempête de neige ?|Une bordée|1|enfants ados adultes aines
Comment nomme-t-on la période des sucres ?|Le temps des sucres|1|enfants ados adultes aines
Quel outil racle la neige des pare-brise ?|Un gratteux|1|enfants ados adultes aines
# « Bouchon » est le mot de France ; ici on est pris dans le trafic.
Quel mot québécois désigne un embouteillage ?|Un bouchon|2|ados adultes aines
> Quel mot québécois, emprunté à l'anglais, désigne un embouteillage ?|Le trafic
Quelle expression québécoise signifie c'est correct ?|C'est beau|1|ados adultes aines
Quel animal emblème figure sur les armoiries de Montréal ?|Le castor|2|ados adultes aines
Quelle fleur figure sur le drapeau de Montréal ?|Fleur de lys|2|ados adultes aines
Quel arbre fut ajouté au drapeau de Montréal en 2017 ?|Le pin blanc|3|adultes aines
Quel papillon est l'insecte emblème du Québec ?|L'amiral|3|adultes aines
Quel explorateur a hiverné à Stadaconé en 1535 ?|Jacques Cartier|2|ados adultes aines
Comment s'appelait le village iroquois devenu Québec ?|Stadaconé|2|ados adultes aines
Comment s'appelait le village iroquois devenu Montréal ?|Hochelaga|1|ados adultes aines
Quelle compagnie de fourrures rivalisait avec la Baie d'Hudson ?|Nord-Ouest|3|adultes aines
Quels canots géants transportaient les fourrures ?|Canots de maître|3|adultes aines
Comment appelait-on les traiteurs de fourrures en forêt ?|Coureurs des bois|1|enfants ados adultes aines
Quelle légende québécoise fait voler un canot ?|La chasse-galerie|1|adultes aines
Quelle jeune fille a dansé avec le diable dans la légende ?|Rose Latulippe|2|adultes aines
Quelle créature légendaire fait peur aux enfants ?|Bonhomme Sept-Heures|1|enfants ados adultes aines
De quel village vient le conteur Fred Pellerin ?|Saint-Élie-de-Caxton|2|ados adultes aines
Quelle série de romans suit Émilie Bordeleau ?|Les Filles de Caleb|1|adultes aines
Quelle auteure a écrit Les Filles de Caleb ?|Arlette Cousture|2|adultes aines
Quel roman de Gabrielle Roy se passe à Saint-Henri ?|Bonheur d'occasion|3|adultes aines
Quel poète québécois a écrit L'homme rapaillé ?|Gaston Miron|3|aines
Quel personnage de BD de Rabagliati raconte le Québec ?|Paul|2|ados adultes
En quelle année Montréal a-t-elle été fondée ?|1642|2|ados adultes aines
Comment s'appelle le parlement du Québec ?|Assemblée nationale|1|ados adultes aines
Combien de députés siègent à l'Assemblée nationale ?|125|2|ados adultes aines
Quel nouveau pont montréalais a ouvert en 2019 ?|Samuel-De Champlain|1|ados adultes aines
Quel marché public borde le canal de Lachine ?|Atwater|1|ados adultes aines
Comment surnomme-t-on la fête du 24 juin ?|La Saint-Jean|1|enfants ados adultes aines
Combien de ponts mènent à l'île d'Orléans ?|Un seul|1|ados adultes aines
Quelle université montréalaise fut fondée en 1821 ?|McGill|2|ados adultes aines
Quel ancien vélodrome de Montréal abrite des animaux ?|Le Biodôme|1|enfants ados adultes aines
Quel jardin montréalais est parmi les plus grands au monde ?|Jardin botanique|1|enfants ados adultes aines
Quelles montagnes russes en bois de La Ronde sont célèbres ?|Le Monstre|1|enfants ados adultes aines
Quelle station de métro montréalaise dessert trois lignes ?|Berri-UQAM|1|ados adultes aines
Combien de lignes compte le métro de Montréal ?|Quatre|1|ados adultes aines
Quelle chaîne de dépanneurs québécoise a un hibou ?|Couche-Tard|1|enfants ados adultes aines
Quel Québécois a inventé la motoneige ?|J.-A. Bombardier|1|adultes aines
Quel village de la Côte-Nord est réputé pour les baleines ?|Tadoussac|1|enfants ados adultes aines
Quel est le plus grand cervidé du Québec ?|L'orignal|1|enfants ados adultes aines
Quel petit poisson pêche-t-on sous la glace à La Pérade ?|Le poulamon|2|ados adultes aines
Quelle crise de janvier 1998 a privé le Québec de courant ?|Le verglas|1|ados adultes aines
Quelle nation autochtone vit à Wendake près de Québec ?|Les Hurons-Wendat|2|ados adultes aines
Quel auteur québécois a écrit Le Matou ?|Yves Beauchemin|3|aines
Quel poète québécois a écrit Le Vaisseau d'or ?|Émile Nelligan|2|adultes aines
Quelle île du Saint-Laurent fut une station de quarantaine ?|Grosse-Île|2|ados adultes aines

=== hors firmware ===

#
# ─── quebec ───
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
#
# Peu de questions ici, exprès : la collection vise la culture générale, pas
# le Québec, qui a déjà sa catégorie.
Quelle langue parle-t-on au Québec ?|Le français|1|enfants ados adultes aines
Comment appelle-t-on au Québec la neige mouillée et boueuse du printemps ?|La slush|1|enfants ados adultes aines
Comment appelle-t-on au Québec le petit magasin du coin ouvert tard ?|Le dépanneur|1|enfants ados adultes aines
Que colle-t-on dans le dos des gens le 1er avril ?|Un poisson d'avril|1|enfants ados adultes aines
Comment appelle-t-on au Québec les boissons gazeuses ?|La liqueur|1|enfants ados adultes aines
Quel traîneau de bois aux lattes recourbées glisse sur la neige au Québec ?|La traîne sauvage|1|enfants ados adultes aines
Comment appelle-t-on au Québec la maison de vacances au bord d'un lac ?|Le chalet|1|enfants ados adultes aines
Quel mot québécois désigne le chandail chaud à capuchon ?|Un coton ouaté|1|enfants ados adultes aines
Quel mot québécois désigne les gants où les doigts sont ensemble ?|Les mitaines|1|enfants ados adultes aines
Quel mot québécois désigne le manteau et la salopette d'hiver des enfants ?|L'habit de neige|1|enfants ados adultes aines
Quel mot québécois désigne la pièce de 25 cents ?|Un trente sous|2|ados adultes aines
