# Mots et langue, accentuee. Meme ordre que Questions.cpp.
Pluriel de cheval ?|Chevaux
Que signifie prendre ses jambes à son cou ?|S'enfuir vite
Que signifie avoir du pain sur la planche ?|Beaucoup de travail
Que signifie vendre la mèche ?|Révéler un secret
Que signifie il pleut des cordes ?|Il pleut très fort
Que signifie avoir de l'eau dans la cave ?|Pantalon trop court
Que signifie se tirer une bûche ?|Prendre une chaise
Que signifie avoir la langue à terre ?|Être très fatigué
Contraire de majuscule ?|Minuscule
Contraire de bruyant, commençant par S ?|Silencieux
Synonyme de content, commençant par H ?|Heureux
Contraire de dedans ?|Dehors
Quelle figure de style exagère volontairement ?|L'hyperbole
Quelle figure de style compare sans mot de comparaison ?|La métaphore
Quel temps du passé décrit une action habituelle ?|L'imparfait
Quelle est la première lettre de l'alphabet grec ?|Alpha
Quelle est la dernière lettre de l'alphabet grec ?|Oméga
Que veut dire etc. ?|Et le reste
Que veut dire N.B. ?|Notez bien
Comment nomme-t-on un mot comme mais ou donc ?|Une conjonction
Comment nomme-t-on un mot nouveau ?|Un néologisme
Comment nomme-t-on un mot vieilli ?|Un archaïsme
Que signifie attache ta tuque ?|Prépare-toi
Que signifie lâcher son fou ?|S'amuser follement
Que signifie avoir les yeux dans la graisse de bines ?|Être dans la lune
Que signifie virer une brosse ?|Trop boire
Que signifie être tanné ?|En avoir assez
Que signifie le mot québécois jaser ?|Bavarder
Que signifie le mot québécois magasiner ?|Faire des achats
Que signifie le mot québécois achaler ?|Déranger
Que signifie le mot québécois niaiser ?|Taquiner
Que signifie le mot québécois pantoute ?|Pas du tout
Que signifie l'interjection québécoise tiguidou ?|C'est parfait
Quel mot québécois désigne un enfant ?|Un flo
Quel mot québécois désigne les bonbons ?|Des nananes
Quel mot québécois désigne une fête ?|Un party
Quel repas québécois correspond au dîner français ?|Le souper
Contraire d'avare, commençant par G ?|Généreux
Contraire de transparent ?|Opaque
Contraire de rigide, en six lettres ?|Souple
Synonyme de bicyclette ?|Vélo
Synonyme de docteur ?|Médecin
Synonyme de bateau, commençant par N ?|Navire
Quel palindrome désigne une détection par ondes ?|Radar
Quel palindrome de trois lettres exprime un refus ?|Non
Comment nomme-t-on les mots qui se prononcent pareil ?|Des homophones
Vert, verre et vers sont des exemples de quoi ?|Homophones
Comment nomme-t-on un mot qui a plusieurs sens ?|Polysémique
Comment nomme-t-on la répétition d'un son au début des mots ?|Une allitération
Comment nomme-t-on une phrase difficile à prononcer ?|Un virelangue
Complétez : les chaussettes de l'archiduchesse sont-elles...|Sèches archi-sèches
Que doit savoir faire le chasseur sans son chien ?|Chasser
Combien de lettres muettes dans le mot loup ?|Une
Par quelle lettre muette commence le mot haricot ?|Le H
Quel mot français est le plus long d'usage courant ?|Anticonstitutionnellement
Quelle langue est l'ancêtre du français ?|Le latin
Quelle langue ancienne a donné alpha et oméga ?|Le grec
De quelle langue vient le mot algèbre ?|L'arabe
De quelle langue vient le mot kimono ?|Le japonais
De quelle langue vient le mot igloo ?|L'inuktitut
De quelle langue vient le mot toboggan ?|Langues autochtones
De quelle langue vient le mot pyjama ?|Le persan
Combien de pays ont le français comme langue officielle ?|29
Quelle organisation regroupe les pays francophones ?|La Francophonie
Quel dictionnaire français célèbre est illustré ?|Le Petit Larousse
Quel autre dictionnaire français célèbre existe ?|Le Robert
Quelle institution fondée en 1635 veille sur le français ?|Académie française
Comment surnomme-t-on les membres de l'Académie ?|Les Immortels
Féminin de dieu ?|Déesse
Féminin de tigre ?|Tigresse
Féminin de duc ?|Duchesse
Masculin de jument ?|L'étalon
Masculin de poule ?|Le coq
Masculin d'abeille ?|Le faux bourdon
Comment nomme-t-on l'habitant de Terre-Neuve ?|Un Terre-Neuvien
Comment nomme-t-on l'habitant du Saguenay ?|Un Saguenéen
Comment nomme-t-on l'habitant de Trois-Rivières ?|Un Trifluvien
Comment nomme-t-on l'habitant de Montréal ?|Un Montréalais
Comment nomme-t-on les habitants des Îles-de-la-Madeleine ?|Les Madelinots
Que signifie mettre son grain de sel ?|Se mêler de tout
Que signifie avoir un poil dans la main ?|Être paresseux
Que signifie raconter des salades ?|Mentir
Que signifie en faire tout un fromage ?|Exagérer
Que signifie les carottes sont cuites ?|C'est fini
Que signifie appuyer sur le champignon ?|Accélérer
Que signifie être au bout du rouleau ?|Être épuisé
Que signifie dormir sur ses deux oreilles ?|Dormir tranquille
Que signifie avoir la tête dans les nuages ?|Être rêveur
Que signifie donner un coup de main ?|Aider
Que signifie avoir le bras long ?|Avoir de l'influence
Que signifie se serrer la ceinture ?|Se priver
Que signifie jeter l'éponge ?|Abandonner
Que signifie passer un savon ?|Réprimander
Que signifie tourner autour du pot ?|Hésiter à parler
Quel signe de ponctuation sépare deux idées dans une phrase ?|La virgule
Quel signe encadre les paroles rapportées ?|Les guillemets
Quel signe relie les mots composés ?|Le trait d'union
Quel signe marque l'élision dans le mot l'arbre ?|L'apostrophe
Combien de temps principaux a l'indicatif ?|Huit
Quel mode exprime un ordre ?|L'impératif
Quel mode exprime un souhait ou un doute ?|Le subjonctif
Comment nomme-t-on un verbe qui se conjugue avec se ?|Pronominal
Quel auxiliaire s'emploie avec le verbe aller ?|Être
Quelle est la première personne du pluriel ?|Nous
Pluriel de journal ?|Journaux
Pluriel de genou ?|Genoux
Pluriel de pneu ?|Pneus
Pluriel de monsieur ?|Messieurs
Féminin de roi ?|La reine
Petit du mouton ?|L'agneau
Petit de la poule ?|Le poussin
Petit du chien ?|Le chiot
Petit du chat ?|Le chaton
Petit du loup ?|Le louveteau
Quel est le cri du cheval ?|Le hennissement
Quel est le cri de l'âne ?|Le braiment
Quel est le cri du mouton ?|Le bêlement
Quel est le cri de l'éléphant ?|Le barrissement
Comment nomme-t-on la femelle du sanglier ?|La laie
Qui collectionne les pièces de monnaie ?|Un numismate
Que signifie le mot québécois chialer ?|Se plaindre
Que signifie le mot québécois barrer la porte ?|Verrouiller
Que signifie avoir de la broue dans le toupet ?|Être débordé
Que veut dire P.S. à la fin d'une lettre ?|Post-scriptum
Quelle est la deuxième lettre de l'alphabet grec ?|Bêta
Comment s'appellent les signes ( et ) ?|Les parenthèses
De quelle langue vient le mot robot ?|Le tchèque
Contraire de léger ?|Lourd
Quel petit poème japonais compte trois vers ?|Le haïku
Comment nomme-t-on un poème de quatorze vers ?|Un sonnet
