# Bouffe et cuisine, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Quel sandwich grec est garni de viande à la broche ?|Le pita (gyros)|2
Quel repas mange-t-on traditionnellement le matin ?|Le déjeuner|1
Quel fruit garnit la tarte Tatin ?|La pomme|2
Quelle épice orange colore le curry ?|Le curcuma|2
Quelle épice est la plus chère au monde ?|Le safran|2
Quel nom porte le jalapeño fumé ?|Chipotle|3
Pays d'origine du kimchi ?|La Corée|2
Quel chou fermenté accompagne les saucisses en Alsace ?|La choucroute|1
Pays d'origine du pad thaï ?|La Thaïlande|1
Pays d'origine de la moussaka ?|La Grèce|2
Pays d'origine du fromage gouda ?|Les Pays-Bas|2
Pays d'origine du parmesan ?|L'Italie|1
Avec quel lait fait-on la feta traditionnelle ?|Lait de brebis|3
Quel plat suisse racle du fromage fondu ?|La raclette|1
Quelle sauce brune très salée accompagne les sushis ?|Sauce soya|1
Quelle pâte verte piquante accompagne les sushis ?|Le wasabi|1
Quelle algue enroule les makis ?|Le nori|2
Quelles petites portions espagnoles se partagent ?|Les tapas|1
Quelle galette de maïs enroule les fajitas ?|La tortilla|1
Quel pain plat indien cuit dans un four tandoor ?|Le naan|1
Quelle boisson indienne mélange yogourt et mangue ?|Le lassi|3
Quel thé japonais en poudre est vert vif ?|Le matcha|1
Quelle infusion sud-africaine est naturellement rouge ?|Le rooibos|3
Quel café italien très court se boit d'un trait ?|L'espresso|1
Quel café italien est couronné de mousse de lait ?|Le cappuccino|1
Quelle pâtisserie allongée est glacée au chocolat ?|L'éclair|1
Quelle crêpe française est flambée à l'orange ?|Crêpe Suzette|2
Quel dessert meringué porte le nom d'une ballerine ?|La pavlova|3
Quel biscuit italien se trempe dans le café ?|Le biscotti|2
Quelle pâtisserie colorée a deux coques et une ganache ?|Le macaron|1
Quel fruit tropical porte une couronne ?|L'ananas|1
Quel fruit brun et poilu vient de Nouvelle-Zélande ?|Le kiwi|1
Quel petit fruit rouge pousse dans les tourbières ?|La canneberge|1
Quel légume vert ressemble à un petit arbre ?|Le brocoli|1
Quel champignon de luxe est déterré par des chiens ?|La truffe|1
Quel crustacé rouge est la fierté de la Gaspésie ?|Le homard|1
Quel repas tardif combine déjeuner et dîner ?|Le brunch|1
Quelle huile méditerranéenne est pressée d'un fruit ?|Huile d'olive|1
Quel vinaigre noir italien vient de Modène ?|Le balsamique|2
Quel pays a inventé les oursons gélifiés ?|L'Allemagne|2
Quelle sauce blanche accompagne le sandwich shawarma ?|Sauce à l'ail|1
Quel plat libanais est une purée d'aubergines fumées ?|Baba ganouj|3
Quelle salade libanaise contient persil et boulgour ?|Le taboulé|2
Quelle boulette frite du Moyen-Orient est aux pois chiches ?|Le falafel|1
Quel plat hongrois est un ragoût au paprika ?|Le goulasch|2
Quelle pâte russe est un petit chausson farci ?|Le pirojki|3
Quelle soupe russe est rouge betterave ?|Le bortsch|3
Quel plat espagnol froid est une soupe de tomates ?|Le gaspacho|2
Quelle omelette espagnole contient des pommes de terre ?|La tortilla|2
Quel poisson salé est le plat national du Portugal ?|La morue|2
Quelle tartelette portugaise est à la crème ?|Pastel de nata|3
Quel plat brésilien est un ragoût de haricots noirs ?|La feijoada|3
Quelle boisson brésilienne mélange lime et cachaça ?|La caipirinha|3
Quel plat péruvien est du poisson cru mariné ?|Le ceviche|2
Quel plat argentin grille des viandes au feu de bois ?|L'asado|3
Quelle sauce verte argentine accompagne les grillades ?|Le chimichurri|3
Quel sandwich vietnamien se sert dans une baguette ?|Le banh mi|2
Quelle soupe vietnamienne parfumée contient du bœuf ?|Le pho|1
Quel plat chinois est un pain farci cuit vapeur ?|Le bao|2
Quelles bouchées chinoises se servent à la vapeur ?|Les dim sums|2
Quelle volaille laquée est le classique de la capitale chinoise ?|Canard de Pékin|1
Quel plat japonais est une brochette de poulet grillée ?|Le yakitori|2
Quelle boulette de poulpe japonaise est une collation ?|Le takoyaki|3
Quelle crêpe japonaise salée vient d'Osaka ?|L'okonomiyaki|3
Quel plat coréen mélange riz, légumes et œuf ?|Le bibimbap|2
Quel barbecue coréen grille la viande à table ?|BBQ coréen|1
Quelles noix entrent dans le pesto génois ?|Les pignons|2
Quel fromage italien garnit la pizza ?|La mozzarella|1
Quel fromage italien râpe les pâtes ?|Le parmesan|1
Quelles pâtes en forme de papillon existent ?|Les farfalles|2
Quelles pâtes en forme de tubes rayés existent ?|Les penne|2
Quelle pâte farcie italienne forme des coussins ?|Les raviolis|1
Quel riz crémeux italien cuit au bouillon ?|Le risotto|1
Quelle entrée italienne est du pain grillé garni ?|La bruschetta|1
Quel jambon italien se mange en tranches fines ?|Le prosciutto|1
Quel dessert sicilien est un rouleau fourré à la ricotta ?|Le cannoli|2
Quelle glace italienne est plus dense que la crème glacée ?|Le gelato|1
Quel mélange de sirop et glace pilée vient d'Italie ?|La granita|3
Quel plat québécois cuit des haricots blancs au four ?|Fèves au lard|1
Quel ragoût des fêtes québécoises mijote des pattes de porc ?|Ragoût de pattes|1
Quelle viande hachée garnit le pâté chinois ?|Le bœuf|1
Quels trois étages composent le pâté chinois ?|Bœuf maïs patates|1
# Le pain doré trempe dans l'œuf, pas dans le sirop, et c'est un déjeuner.
Quel dessert québécois trempe du pain dans le sirop ?|Pain doré|1
> Quel déjeuner québécois trempe du pain dans l'œuf avant de le poêler ?|Le pain doré
Quel dessert québécois est un gâteau arrosé de sauce sucrée ?|Pouding chômeur|1
Quelle boule de pâte frite est saupoudrée de sucre ?|Le beigne|1
Quelle confiserie d'érable se roule sur la neige ?|La tire|1
Quel sucre du terroir remplace la cassonade ?|Sucre d'érable|1
Quel sirop noir parfume les galettes québécoises ?|La mélasse|1
Quel gâteau roulé imite un morceau de bois à Noël ?|Bûche de Noël|1
# « Le soda gingembre » n'est le nom de personne.
Quelle boisson gazeuse au gingembre existe ?|Le soda gingembre|1
> Quelle boisson gazeuse au gingembre est célèbre au Canada ?|Le ginger ale (Canada Dry)
Quel lait fouetté avec crème glacée est un dessert à boire ?|Le lait frappé|1
Quelle boisson chaude réconforte avec du cacao ?|Chocolat chaud|1
Quelle confiserie blanche flotte sur le chocolat chaud ?|La guimauve|1
Quel bonbon dur se mange sur un bâton ?|La sucette|1
Quelle gomme permet de faire des bulles ?|Gomme balloune|1
Quelle barbe sucrée se vend dans les fêtes foraines ?|Barbe à papa|1
Quelle pomme enrobée est une friandise d'Halloween ?|Pomme au caramel|1
Quel maïs éclate au cinéma ?|Le popcorn|1
Quelle pâte à frire enrobe le poisson anglais ?|Fish and chips|1
Quel plat français gratine bœuf haché et purée ?|Hachis Parmentier|2
Quel déjeuner anglais complet est copieux ?|English breakfast|1
Quel sandwich club a trois étages ?|Le club sandwich|1
Quel sandwich fondant au fromage est grillé ?|Le grilled cheese|1
Quel pain rond avec un trou se mange à Montréal ?|Le bagel|1
Quel poisson fumé garnit le bagel classique ?|Le saumon fumé|1
Quelle tartinade blanche accompagne le bagel ?|Fromage à la crème|1
Quel élément croquant garnit la salade César ?|Des croûtons|1
Quelle laitue compose la salade César ?|La romaine|1
Quelle vinaigrette porte le nom d'un archipel ?|Mille-Îles|1
Quel légume mariné accompagne le burger ?|Le cornichon|1
Quel oignon frit en anneaux accompagne le burger ?|Rondelles d'oignon|1
Quelle pomme de terre frite est en spirale ?|Frite tornade|2
Quel épi grillé se mange au beurre en août ?|Le blé d'Inde|1
Quelle fête québécoise célèbre le blé d'Inde ?|L'épluchette|1
Quel fruit orange se sculpte à l'Halloween ?|La citrouille|1
Quelle tarte épicée se mange à l'Action de grâce ?|À la citrouille|1
Quelle volaille trône au repas de Noël ?|La dinde|1
Quelle sauce rouge accompagne la dinde ?|Aux canneberges|1
Quel accompagnement de Noël est une purée blanche ?|Patates pilées|1
Quelle forme donne-t-on au poisson pané pour les enfants ?|Des bâtonnets|1
Quelle pâte à tartiner australienne est très salée ?|La Vegemite|3
Quelle pâte à tartiner aux noisettes est adorée ?|Le Nutella|1
Quel beurre de noix est interdit dans les écoles ?|Beurre d'arachide|1
Quelle confiture d'agrumes est amère ?|La marmelade|1
Quel sirop doré anglais vient de la canne ?|Golden syrup|3
Quel sucre brun humide parfume les biscuits ?|La cassonade|1
Quelle écorce parfume les brioches roulées ?|La cannelle|1
Quelle gousse noire parfume la crème glacée ?|La vanille|1
Quelle épice se râpe sur le lait de poule ?|La muscade|2
Quel clou parfume le jambon de Noël ?|Clou de girofle|1
Quelle racine piquante parfume les biscuits de Noël ?|Le gingembre|1
Quel bonhomme de biscuit court dans les contes ?|Pain d'épice|1
Quel biscuit au chocolat cache une guimauve ?|Le Whippet|1
De quel pays vient la tequila ?|Le Mexique|1
De quel pays vient le champagne ?|La France|1
Quel fruit séché donne le pruneau ?|La prune|1
Quelle célèbre soupe française est gratinée ?|Soupe à l'oignon|1
Quel plat français mijote du bœuf au vin rouge ?|Bœuf bourguignon|1
Quel plat provençal mijote des légumes et aubergines ?|La ratatouille|1
Quel fruit est l'ingrédient principal du cidre ?|La pomme|1
Quelle plante aromatique garnit le mojito ?|La menthe|1
Quel agrume jaune très acide accompagne les poissons ?|Le citron|1
Quelle boisson gazeuse brune est née à Atlanta ?|Le Coca-Cola|1
Quel champignon blanc est le plus cultivé au monde ?|Champignon de Paris|2
Quel plat indien s'appelle butter chicken en anglais ?|Poulet au beurre|1
Quelle céréale maltée est la base de la bière ?|L'orge|2
Quelle céréale compose le gruau ?|L'avoine|1
Où pêche-t-on la célèbre crevette nordique québécoise ?|À Matane|1
Quel repas québécois se mange le midi ?|Le dîner|1
Quelle boulette de patates est un plat acadien ?|Poutine râpée|2
Quel légume violet et allongé gratine la moussaka ?|L'aubergine|1
Quel légume en tiges rouges garnit des tartes ?|La rhubarbe|1
Quelle boisson pétillante est du thé fermenté ?|Le kombucha|1
Quel pain français long et croustillant est emblématique ?|La baguette|1
Quelle soupe japonaise est à base de pâte de soja ?|La soupe miso|1
Quel alcool japonais est fait de riz fermenté ?|Le saké|1
Quelles croustilles de maïs accompagnent la salsa ?|Les nachos|1
Quel condiment crémeux se fait d'œufs et d'huile ?|La mayonnaise|1
Comment s'appelle le sel récolté à la surface des marais ?|Fleur de sel|2
Comment nomme-t-on un œuf cuit 3 minutes en coquille ?|À la coque|1
Quelle chaîne de restaurants a des arches dorées ?|McDonald's|1
Quel colonel a fondé la chaîne de poulet PFK ?|Sanders|1
