# Cinema et tele, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Quel superhéros enfile son costume dans une cabine téléphonique ?|Superman|1
Quel journaliste est l'identité secrète de Superman ?|Clark Kent|1
Quelle journaliste aime Clark Kent ?|Lois Lane|1
Quel majordome sert Bruce Wayne ?|Alfred|1
Quel acolyte de Batman porte un costume rouge et vert ?|Robin|1
Quel clown est l'ennemi juré de Batman ?|Le Joker|1
Quelle amazone a un lasso de vérité ?|Wonder Woman|1
Quel héros court plus vite que tout le monde en rouge ?|Flash|1
Quel roi des mers parle aux poissons ?|Aquaman|1
Quel milliardaire Marvel a un réacteur dans la poitrine ?|Tony Stark|1
Quel soldat Marvel porte un bouclier étoilé ?|Captain America|1
Quel héros Marvel rétrécit à la taille d'une fourmi ?|Ant-Man|1
Quel méchant Marvel claque des doigts avec un gant ?|Thanos|1
Combien de pierres d'infinité orne le gant de Thanos ?|Six|2
Quel groupe de héros défend la galaxie avec un raton laveur ?|Les Gardiens|1
Quel arbre des Gardiens ne dit que trois mots ?|Groot|1
Quel héros mutant a des griffes en adamantium ?|Wolverine|1
Quelle école accueille les jeunes mutants ?|École de Xavier|2
Quel agent secret britannique aime les martinis ?|James Bond|1
Quel acteur écossais fut le premier James Bond ?|Sean Connery|2
Quel espion maladroit est l'agent 86 ?|Maxwell Smart|2
Quel félin de dessin animé est né d'un générique de film ?|La Panthère rose|2
Quel inspecteur maladroit poursuit la Panthère rose ?|Clouseau|2
Comment s'appelle le meilleur ami roux de Harry Potter ?|Ron Weasley|1
Quelle amie brillante accompagne Harry et Ron ?|Hermione|1
Quel directeur de Poudlard a une longue barbe blanche ?|Dumbledore|1
Quelle princesse de Star Wars est la sœur de Luke ?|Leia|1
Quel wookiee copilote le Faucon Millénium ?|Chewbacca|1
Quelle actrice joue Rose dans Titanic ?|Kate Winslet|2
Quel acteur autrichien joue Terminator ?|Schwarzenegger|1
Quel acteur joue Forrest Gump ?|Tom Hanks|2
Quel acteur incarne Rocky Balboa ?|Stallone|1
Quelle exploratrice a un singe nommé Babouche ?|Dora|1
Quelle série animée suit des chiots sauveteurs ?|Pat' Patrouille|1
Quelle série animée japonaise suit Son Goku ?|Dragon Ball|1
Quel ninja blond rêve de devenir Hokage ?|Naruto|1
Quelle souris Disney est l'amoureuse de Mickey ?|Minnie|1
Quel canard Disney porte un costume marin ?|Donald|1
Quel est le chien de compagnie de Mickey ?|Pluto|1
Quel film Disney de 2013 chante Libérée, délivrée ?|La Reine des neiges|1
Quel médecin grincheux de série boite avec une canne ?|Dr House|2
Quelle voiture emblématique conduit James Bond ?|Aston Martin|2
Quel studio japonais a créé Mon voisin Totoro ?|Ghibli|3
Quel cowboy de BD tire plus vite que son ombre ?|Lucky Luke|1
Quels quatre frères bandits affrontent Lucky Luke ?|Les Dalton|1
Quel méchant sorcier des Schtroumpfs a un chat ?|Gargamel|1
