# Geographie, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Quel fleuve traverse Londres ?|La Tamise|2
Quel fleuve traverse Rome ?|Le Tibre|3
Quel fleuve traverse Vienne et Budapest ?|Le Danube|2
Quel grand fleuve traverse l'Amazonie ?|L'Amazone|1
Quel fleuve américain se jette à La Nouvelle-Orléans ?|Le Mississippi|2
Quel long fleuve traverse la Chine ?|Le Yangtsé|3
Quel fleuve sacré traverse l'Inde ?|Le Gange|2
Quelles chutes célèbres sont à la frontière canado-américaine ?|Niagara|1
Quelles chutes africaines portent le nom d'une reine ?|Victoria|2
Quel désert froid couvre une partie de la Mongolie ?|Le Gobi|2
Quel désert couvre le sud-ouest africain ?|Le Kalahari|3
Quelle est la plus grande île du monde ?|Le Groenland|2
Quelle mer est si salée qu'on y flotte ?|La mer Morte|1
Quel lac écossais abriterait un monstre ?|Le Loch Ness|1
Quel archipel équatorien a inspiré Darwin ?|Les Galápagos|2
Quel pays a la forme d'une botte ?|L'Italie|1
Quel pays d'Asie compte plus de 17000 îles ?|L'Indonésie|3
Quel pays scandinave est célèbre pour ses fjords ?|La Norvège|2
Quel volcan sicilien est le plus actif d'Europe ?|L'Etna|2
Sur quel continent se dresse le Kilimandjaro ?|L'Afrique|1
Quelle rivière a creusé le Grand Canyon ?|Le Colorado|2
Quel état américain est un archipel volcanique ?|Hawaï|1
Quel état américain est le plus grand ?|L'Alaska|2
Quel pays entoure complètement le Lesotho ?|Afrique du Sud|3
Quelle ligne imaginaire sépare les deux hémisphères ?|L'équateur|1
Combien de fuseaux horaires couvre le Canada ?|Six|2
Quelle mer borde la Côte d'Azur ?|La Méditerranée|1
Quel océan borde la côte est du Canada ?|L'Atlantique|1
Quel océan est le plus froid ?|L'Arctique|1
Quelle est la plus haute montagne d'Afrique ?|Le Kilimandjaro|2
Quelle est la plus haute montagne d'Amérique du Nord ?|Le Denali|3
Quelle est la plus haute montagne du Canada ?|Le mont Logan|3
Quelle chaîne de montagnes traverse l'ouest canadien ?|Les Rocheuses|1
Quelle chaîne sépare l'Europe de l'Asie ?|L'Oural|3
Quel massif abrite l'Everest ?|L'Himalaya|1
Quel pays possède le mont Fuji ?|Le Japon|1
Quel détroit sépare la Russie de l'Alaska ?|Bering|2
Quel canal traverse l'Amérique centrale ?|Panama|1
Langue parlée en Argentine ?|L'espagnol|1
Langue parlée en Autriche ?|L'allemand|2
Langue parlée en Égypte ?|L'arabe|1
Monnaie utilisée aux États-Unis ?|Le dollar|1
Monnaie utilisée en Suisse ?|Le franc suisse|2
Monnaie utilisée en Inde ?|La roupie|2
Quel pays a un drapeau avec une étoile de David ?|Israël|1
Quel pays a une croix blanche sur fond rouge ?|La Suisse|1
Quel pays nordique a un drapeau bleu et blanc croisé ?|La Finlande|3
Quel immense pays occupe la moitié de l'Amérique du Sud ?|Le Brésil|1
Quel petit pays est enclavé entre France et Espagne ?|Andorre|3
Quel micro-État borde Nice et la Méditerranée ?|Monaco|2
Quel pays est surnommé le pays du Soleil-Levant ?|Le Japon|1
Quel pays est surnommé la botte de l'Europe ?|L'Italie|1
Quel pays est surnommé l'île d'émeraude ?|L'Irlande|2
Quelle ville est surnommée la Grosse Pomme ?|New York|1
Quelle ville est surnommée la Ville lumière ?|Paris|1
Quelle ville est surnommée la Ville éternelle ?|Rome|2
Dans quelle ville trouve-t-on le Golden Gate ?|San Francisco|1
Dans quelle ville trouve-t-on l'opéra aux voiles blanches ?|Sydney|1
Dans quelle ville trouve-t-on le Kremlin ?|Moscou|1
Dans quelle ville trouve-t-on la place Tiananmen ?|Pékin|2
Dans quelle ville trouve-t-on le Christ Rédempteur ?|Rio de Janeiro|1
Dans quel pays se trouve Tombouctou ?|Le Mali|3
Dans quel pays se trouve le Machu Picchu ?|Le Pérou|2
Dans quel pays se trouve Petra, la cité rose ?|La Jordanie|3
Dans quel pays se trouve l'Acropole ?|La Grèce|1
Dans quel pays se trouve le Colisée ?|L'Italie|1
Quelle est la plus grande ville du Canada ?|Toronto|1
Quelle est la plus grande ville des États-Unis ?|New York|1
Quelle est la plus grande ville d'Australie ?|Sydney|2
Combien d'états composent les États-Unis ?|50|1
Quel état américain touche le Québec et le Nouveau-Brunswick ?|Le Maine|2
Quelle péninsule abrite Espagne et Portugal ?|Ibérique|2
Quelle péninsule abrite la Mecque ?|L'Arabie|2
Quelle mer intérieure borde le Kazakhstan et l'Iran ?|La Caspienne|3
Quel golfe borde le Texas et la Floride ?|Golfe du Mexique|1
Quelle est la plus grande île du golfe Saint-Laurent ?|Anticosti|2
Quelle baie géante borde le nord du Québec ?|Baie d'Hudson|1
Quelle île canadienne est la plus grande ?|Île de Baffin|2
Quel passage maritime arctique relie deux océans ?|Nord-Ouest|2
Quel courant marin réchauffe l'Europe ?|Le Gulf Stream|2
Quel phénomène marin fait tourbillonner l'eau ?|Le maelstrom|3
Quelle fosse océanique est la plus profonde ?|Les Mariannes|3
Quel récif corallien longe l'Australie ?|Grande Barrière|2
Quel pays a pour emblème le kiwi ?|Nouvelle-Zélande|2
Quel pays a pour emblème le panda ?|La Chine|1
Quel pays a pour emblème le coq ?|La France|1
Quel animal des Andes crache quand il est fâché ?|Le lama|1
Sur quel continent vivent les girafes en liberté ?|L'Afrique|1
Dans quel pays les vaches sont-elles sacrées ?|L'Inde|1
Quel pays produit le plus de café ?|Le Brésil|2
Quel pays produit le plus de sirop d'érable ?|Le Canada|1
Quel continent n'a aucun pays ?|L'Antarctique|1
Combien de territoires compte le Canada ?|Trois|1
Quelle frontière est la plus longue du monde ?|Canada-USA|2
Quelle ville sainte est commune à trois religions ?|Jérusalem|2
Dans quelle ville trouve-t-on la basilique Saint-Pierre ?|Rome (Vatican)|2
Dans quel pays se trouve La Mecque ?|Arabie saoudite|2
Quel fleuve forme la frontière Ontario-Québec au sud ?|L'Outaouais|2
Quelle province des Prairies a Regina pour capitale ?|La Saskatchewan|2
Quelle province canadienne produit le plus de pétrole ?|L'Alberta|1
Quelle île canadienne a inspiré Anne aux pignons verts ?|Prince-Édouard|1
Quel pont relie l'Île-du-Prince-Édouard au continent ?|Confédération|2
Quelle ville canadienne abrite la Tour CN ?|Toronto|1
Quel lac canadien est le plus profond ?|Lac des Esclaves|3
Quelle rivière célèbre coule à Ottawa ?|L'Outaouais|1
Capitale de la Hongrie ?|Budapest|2
Capitale de la Thaïlande ?|Bangkok|2
Capitale du Vietnam ?|Hanoï|2
Capitale du Pérou ?|Lima|2
Capitale du Chili ?|Santiago|2
Capitale de la Nouvelle-Zélande ?|Wellington|3
Quel désert chilien est le plus aride du monde ?|L'Atacama|3
Quelle est la plus grande île de la Méditerranée ?|La Sicile|2
Quel état américain est surnommé le Golden State ?|La Californie|2
Dans quel état américain se trouve Las Vegas ?|Le Nevada|1
Dans quel pays se trouve le Kilimandjaro ?|La Tanzanie|3
Quel lac est le plus profond du monde ?|Le Baïkal|3
Quel fleuve russe est le plus long d'Europe ?|La Volga|2
Quelle chaîne de montagnes sépare la France de l'Espagne ?|Les Pyrénées|1
Quel pays a Kaboul pour capitale ?|L'Afghanistan|2
Quel pays a Bagdad pour capitale ?|L'Irak|2
Quelle province canadienne borde le Pacifique ?|Colombie-Britannique|1
Quel archipel espagnol se trouve au large du Maroc ?|Les Canaries|2
Quel est le plus grand lac d'Afrique ?|Le lac Victoria|2
Quel fleuve traverse l'Allemagne et se jette à Rotterdam ?|Le Rhin|2
