# Sciences et nature, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Quel phénomène lumineux colore le ciel polaire ?|Aurore boréale|1
Quel instrument mesure la pression atmosphérique ?|Le baromètre|2
Quelle échelle mesure la dureté des minéraux ?|Mohs|3
Quel est le symbole chimique du sodium ?|Na|2
Quel est le symbole chimique de l'hydrogène ?|H|1
Quel naturaliste a proposé la théorie de l'évolution ?|Darwin|1
Contre quelle maladie Pasteur a-t-il créé un vaccin ?|La rage|2
Combien de chromosomes possède l'humain ?|46|2
Quelle planète a été rétrogradée en planète naine ?|Pluton|1
Quelle est la plus grande lune de Saturne ?|Titan|3
Quelle planète tourne couchée sur le côté ?|Uranus|3
Combien de lunes possède la Terre ?|Une|1
Combien de lunes possède Mars ?|Deux|3
Quelle galaxie abrite notre système solaire ?|La Voie lactée|1
Quel astre supermassif avale même la lumière ?|Le trou noir|1
Quel caillou céleste brille en traversant l'atmosphère ?|L'étoile filante|1
Comment nomme-t-on une roche tombée de l'espace ?|Une météorite|1
Quelle comète célèbre revient tous les 76 ans ?|Halley|2
Quel événement cache le Soleil derrière la Lune ?|Une éclipse|1
Quelle est la durée d'une année sur Terre ?|365 jours|1
Quel pourcentage de la Terre est couvert d'eau ?|71 pour cent|2
Quelle couche de gaz protège la Terre des UV ?|La couche d'ozone|1
Comment s'appelle le centre de la Terre ?|Le noyau|1
Quelle roche liquide sort des volcans ?|La lave|1
Comment s'appelle la roche fondue sous terre ?|Le magma|1
Quel appareil enregistre les tremblements de terre ?|Le sismographe|2
Quelle vague géante suit parfois un séisme ?|Le tsunami|1
Quel vent tourbillonnant forme un entonnoir ?|La tornade|1
Comment mesure-t-on la force des ouragans ?|Saffir-Simpson|3
De quoi sont faits les nuages ?|Gouttelettes d'eau|1
Quel nuage annonce l'orage ?|Le cumulonimbus|2
Quelle est la température du corps humain en santé ?|37 degrés C|1
Combien de litres de sang contient un adulte ?|Cinq|2
Quel organe contrôle tout le corps ?|Le cerveau|1
Quel muscle bat sans jamais se reposer ?|Le cœur|1
Quel sens est associé à la langue ?|Le goût|1
Quel sens est associé au nez ?|L'odorat|1
Quelle partie de l'œil donne sa couleur ?|L'iris|1
Quelle petite fenêtre de l'œil laisse entrer la lumière ?|La pupille|1
Quel os protège le cerveau ?|Le crâne|1
Quels os protègent les poumons ?|Les côtes|1
Combien de paires de côtes avons-nous ?|Douze|2
Quel est le plus petit os du corps ?|L'étrier|2
Où se trouve le plus petit os du corps ?|Dans l'oreille|2
Quel liquide produit par le foie digère les graisses ?|La bile|2
Quel tube relie la bouche à l'estomac ?|L'œsophage|2
Quel gaz expirons-nous ?|Le gaz carbonique|1
Quelle vitamine fabrique la peau au soleil ?|La vitamine D|2
Quel minéral renforce les os ?|Le calcium|1
Quel est l'animal le plus haut du monde ?|La girafe|1
Quel animal terrestre est le plus lourd ?|L'éléphant|1
Quel oiseau est le plus rapide en piqué ?|Le faucon pèlerin|2
Quel poisson à voile est le plus rapide des mers ?|Le voilier|3
Quel félin est le plus gros du monde ?|Le tigre|2
Quel animal a la langue la plus longue par rapport au corps ?|Le caméléon|2
Quel animal a le cou le plus long ?|La girafe|1
Quel reptile peut vivre plus de 150 ans ?|La tortue géante|1
Comment s'appelle la maison des fourmis ?|La fourmilière|1
Comment s'appelle la maison des abeilles ?|La ruche|1
Comment s'appelle la larve du papillon ?|La chenille|1
Dans quoi la chenille se transforme-t-elle ?|La chrysalide|1
Quel organe permet aux poissons de respirer sous l'eau ?|Les branchies|1
Quel animal est le meilleur ami de l'homme ?|Le chien|1
Combien de cœurs possède un ver de terre ?|Cinq|3
Quel animal produit de la soie ?|Le ver à soie|1
Quel animal marin ressemble à un cheval miniature ?|L'hippocampe|1
Chez quel animal le mâle porte-t-il les bébés ?|L'hippocampe|1
Quel mammifère marin chante des mélodies ?|La baleine à bosse|2
Quel animal polaire a la peau noire sous son pelage blanc ?|L'ours polaire|2
Quel grand singe est le plus proche de l'homme ?|Le chimpanzé|1
Comment nomme-t-on un arbre qui perd ses feuilles l'hiver ?|Un feuillu|1
Comment nomme-t-on un arbre qui garde ses aiguilles ?|Un conifère|1
Quelle partie de la plante absorbe l'eau ?|Les racines|1
Quel pigment rend les plantes vertes ?|La chlorophylle|1
Quel gaz les plantes absorbent-elles ?|Le gaz carbonique|1
Comment s'appelle le voyage du pollen ?|La pollinisation|1
Quel insecte est le principal pollinisateur ?|L'abeille|1
Quelle fleur suit le Soleil ?|Le tournesol|1
# Ambigu : le concombre est un fruit et bat le melon. On décrit celui qu'on veut.
Quel fruit contient le plus d'eau ?|Le melon d'eau|2
> Quel gros fruit d'été est fait d'eau à plus de 90 pour cent ?|Le melon d'eau
Comment s'appellent les anneaux du tronc d'un arbre ?|Les cernes|2
Quel champignon fait lever le pain ?|La levure|1
Quelle énergie vient du Soleil ?|L'énergie solaire|1
Quelle énergie vient des barrages ?|L'hydroélectricité|1
Quelle énergie vient du vent ?|L'énergie éolienne|1
Quel appareil transforme le vent en électricité ?|L'éolienne|1
Quelle particule négative tourne autour du noyau ?|L'électron|1
Quelle particule positive loge dans le noyau ?|Le proton|1
Quelle est la plus petite unité de la matière ?|L'atome|1
Quelle est la plus petite unité du vivant ?|La cellule|1
Quels sont les trois états de l'eau ?|Solide liquide gaz|1
Comment s'appelle le passage de liquide à gaz ?|L'évaporation|1
Comment s'appelle le passage de gaz à liquide ?|La condensation|1
Quel phénomène fait flotter les bateaux ?|Poussée d'Archimède|2
# « Cette poussée » renvoyait à la question précédente : brassée, elle ne suit plus.
Quel savant a donné son nom à cette poussée ?|Archimède|1
> Quel savant grec a donné son nom à la poussée qui fait flotter les bateaux ?|Archimède
Quelle vitesse ne peut jamais être dépassée ?|Celle de la lumière|1
Quel instrument grossit les objets proches ?|La loupe|1
Quelle lumière invisible bronze la peau ?|Les ultraviolets|1
Quelle onde invisible réchauffe les aliments au four ?|Les micro-ondes|1
Quel métal précieux conduit le mieux l'électricité ?|L'argent|3
Quel gaz léger gonflait les dirigeables ?|L'hydrogène|2
Quel gaz rend les ballons de fête flottants ?|L'hélium|1
Quel élément chimique a le symbole C ?|Le carbone|1
Quel élément chimique a le symbole N ?|L'azote|2
Quel tableau classe tous les éléments chimiques ?|Tableau périodique|1
Qui a créé le tableau périodique ?|Mendeleïev|3
Quel acide donne son goût au citron ?|L'acide citrique|1
Quel sucre trouve-t-on dans le sang ?|Le glucose|1
Quelle protéine transporte l'oxygène dans le sang ?|L'hémoglobine|2
Quel groupe sanguin est donneur universel ?|O négatif|2
Quel est le symbole chimique de l'oxygène ?|O|1
Quel est le symbole chimique de l'argent ?|Ag|2
Quelle est la planète la plus éloignée du Soleil ?|Neptune|2
Combien de poumons possède l'humain ?|Deux|1
Quel insecte transmet la malaria ?|Le moustique|1
Quel arachnide a une queue munie d'un dard ?|Le scorpion|1
Combien de pattes possède un crabe ?|Dix|2
Quelle plante compose le menu du panda géant ?|Le bambou|1
De quel arbre le koala mange-t-il les feuilles ?|L'eucalyptus|1
Combien de bosses a un dromadaire ?|Une|1
Combien de bosses a un chameau ?|Deux|1
Comment s'appelle le sonar naturel des chauves-souris ?|L'écholocation|2
Quelle force nous retient au sol ?|La gravité|1
Quel scientifique a inventé le paratonnerre ?|Benjamin Franklin|2
Quelle articulation relie la cuisse à la jambe ?|Le genou|1
Quel animal est le plus gros rongeur du monde ?|Le capybara|2
Quelle partie de la cellule contient l'ADN ?|Le noyau|1
Quel dinosaure a trois cornes sur la tête ?|Le tricératops|1
Quel dinosaure a des plaques osseuses sur le dos ?|Le stégosaure|1
Quel effet atmosphérique réchauffe la planète ?|L'effet de serre|1
Quelle énergie est produite à partir d'uranium ?|Le nucléaire|1
Quel instrument mesure la vitesse du vent ?|L'anémomètre|2
