# Histoire, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Qui a réalisé les premières liaisons radio sans fil ?|Marconi|3
> Quel inventeur italien est considéré comme le père de la radio ?|Marconi
Quels dirigeables allemands portaient un nom de comte ?|Les zeppelins|2
Quelle grippe a fait des millions de morts en 1918 ?|Grippe espagnole|2
En quelle année eut lieu le grand krach boursier ?|1929|2
Quelle crise économique a suivi le krach de 1929 ?|La Grande Dépression|1
Quelle loi américaine interdisait l'alcool ?|La prohibition|1
Quel gangster régnait sur Chicago ?|Al Capone|2
Quel président américain a lancé le New Deal ?|Roosevelt|3
Quelle base américaine fut attaquée en décembre 1941 ?|Pearl Harbor|2
Quelle date exacte est le jour J ?|Le 6 juin 1944|2
Quelle adolescente a écrit un journal célèbre à Amsterdam ?|Anne Frank|2
Quelle organisation mondiale fut fondée en 1945 ?|L'ONU|2
Quelle alliance militaire occidentale date de 1949 ?|L'OTAN|2
Quelle guerre a divisé la Corée en 1950 ?|Guerre de Corée|1
Quelle crise de 1962 concernait des missiles ?|Crise de Cuba|2
Quel premier ministre canadien a dirigé pendant la Seconde Guerre ?|Mackenzie King|3
Quel chirurgien a réalisé la première greffe du cœur ?|Christiaan Barnard|3
Quel avion supersonique reliait Paris et New York ?|Le Concorde|2
Quelle guerre d'Asie a pris fin en 1975 ?|Vietnam|2
Quelles sondes jumelles ont été lancées en 1977 ?|Voyager|3
Quelle centrale nucléaire a explosé en 1986 ?|Tchernobyl|2
En quelle année l'Allemagne s'est-elle réunifiée ?|1990|3
En quelle année l'URSS a-t-elle disparu ?|1991|3
Quel traité de 1992 a créé l'Union européenne ?|Maastricht|3
Quel tunnel sous la mer a ouvert en 1994 ?|Sous la Manche|1
Quelle brebis clonée est née en 1996 ?|Dolly|2
Quelle date redoutaient les informaticiens en 1999 ?|Le 1er janvier 2000|1
Quelles tours new-yorkaises sont tombées le 11 septembre 2001 ?|World Trade Center|1
En quelle année l'euro est-il entré en circulation ?|2002|3
Qui a fondé Facebook en 2004 ?|Mark Zuckerberg|1
Quel fut le premier président noir des États-Unis ?|Obama|1
Quel rover s'est posé sur Mars en 2012 ?|Curiosity|3
Quel physicien en fauteuil roulant a étudié les trous noirs ?|Stephen Hawking|2
Quelle militante pakistanaise a reçu le Nobel de la paix ?|Malala|2
Quel capitaine anglais a cartographié le Pacifique ?|James Cook|2
Qui a atteint le pôle Sud en premier ?|Amundsen|3
Qui a gravi l'Everest en premier en 1953 ?|Hillary et Norgay|2
Quel navire océanographique commandait Cousteau ?|La Calypso|2
Quel empereur romain aurait incendié Rome ?|Néron|2
Quel général carthaginois a traversé les Alpes à dos d'éléphant ?|Hannibal|2
Quel explorateur a cherché la fontaine de Jouvence en Floride ?|Ponce de León|3
Quelle femme pharaon portait une fausse barbe cérémoniale ?|Hatchepsout|3
Quel pharaon bâtisseur a régné 66 ans ?|Ramsès II|2
Quelle reine d'Angleterre a donné son nom à une époque ?|Victoria|2
Quel tissu précieux voyageait sur la route de la soie ?|La soie|1
Qui a fondé Ville-Marie, la future Montréal ?|Maisonneuve|2
Quelle infirmière a fondé l'Hôtel-Dieu de Montréal ?|Jeanne Mance|2
Quel intendant a développé la Nouvelle-France ?|Jean Talon|2
Quelles jeunes filles furent envoyées peupler la Nouvelle-France ?|Filles du Roy|2
Quel traité de 1763 a cédé la Nouvelle-France à l'Angleterre ?|Traité de Paris|3
Quelle rébellion québécoise eut lieu en 1837 ?|Les Patriotes|2
Quel chemin de fer a uni le Canada en 1885 ?|Canadien Pacifique|2
Quelle ruée vers l'or a attiré des milliers de gens au Yukon ?|Klondike|2
Quel pont québécois s'est effondré en 1907 ?|Pont de Québec|2
Quelle ville canadienne fut dévastée par une explosion en 1917 ?|Halifax|3
Quel premier ministre a donné son nom à un aéroport de Montréal ?|Trudeau|1
Quelle politique canadienne date de la loi de 1969 ?|Le bilinguisme|2
Quel Trudeau est devenu premier ministre en 2015 ?|Justin Trudeau|1
En quelle année a débuté la Seconde Guerre mondiale ?|1939|2
En quelle année a pris fin la Première Guerre mondiale ?|1918|2
Qui fut le premier président des États-Unis ?|George Washington|1
Quel général français s'est couronné empereur en 1804 ?|Napoléon|1
Quel roi de France a été guillotiné en 1793 ?|Louis XVI|2
Quel conquistador espagnol a conquis l'empire inca ?|Pizarro|3
Quelle reine anglaise fut surnommée la Reine vierge ?|Elizabeth Ire|2
Quelle aviatrice a disparu dans le Pacifique en 1937 ?|Amelia Earhart|2
Quel dictateur dirigeait l'Allemagne nazie ?|Hitler|1
Quel dictateur soviétique a succédé à Lénine ?|Staline|2
Quel révolutionnaire russe a fondé l'URSS ?|Lénine|2
Quel premier ministre orne le billet canadien de 5 $ ?|Wilfrid Laurier|2
Qui fut le premier premier ministre du Canada ?|John A. Macdonald|2
Qui fut le deuxième homme à marcher sur la Lune ?|Buzz Aldrin|2
Quelle navette spatiale a explosé au décollage en 1986 ?|Challenger|2
Quel président américain a démissionné après le Watergate ?|Nixon|2
Quel calendrier, adopté en 1582, utilisons-nous ?|Le grégorien|2
Quel empereur romain a légalisé le christianisme ?|Constantin|3
Quelle ville fut la capitale de l'Empire byzantin ?|Constantinople|2
Quel roi babylonien a gravé un célèbre code de lois ?|Hammurabi|3
Quelle machine allemande codait les messages nazis ?|Enigma|2
Quel mathématicien anglais a cassé le code Enigma ?|Alan Turing|2
Quelle première ministre fut surnommée la Dame de fer ?|Thatcher|2
Quelle reine d'Égypte a un buste célèbre à Berlin ?|Néfertiti|2
