# Musique, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Quelle famille d'instruments frappe-t-on ?|Les percussions|1
Combien de cordes a un violoncelle ?|Quatre|3
Quel gros instrument à cordes se joue debout ?|La contrebasse|1
Quel instrument d'église a des tuyaux ?|L'orgue|1
Quelle indication musicale signifie jouer fort ?|Forte|2
Quelle indication musicale signifie jouer doucement ?|Piano|2
Comment nomme-t-on la vitesse d'un morceau ?|Le tempo|1
Quel appareil à pendule bat la mesure ?|Le métronome|2
# Ambigu : la mezzo-soprano est aussi entre les deux.
Quelle voix féminine se situe entre soprano et ténor ?|L'alto|3
> Quelle est la voix féminine la plus grave ?|L'alto (contralto)
Quelle danse glissée a rendu célèbre Michael Jackson ?|Le moonwalk|1
Quel festival célèbre a eu lieu en 1969 près de New York ?|Woodstock|2
Quelle plateforme suédoise diffuse de la musique en continu ?|Spotify|1
Quel prix récompense la musique aux États-Unis ?|Le Grammy|1
Quel gala récompense la musique québécoise ?|L'ADISQ|1
Quel groupe québécois chante Toune d'automne ?|Cowboys Fringants|2
Quel chanteur québécois a chanté Lindberg avec Louise Forestier ?|Robert Charlebois|2
Quel groupe québécois a chanté La complainte du phoque en Alaska ?|Beau Dommage|2
Quel groupe progressif québécois a fait L'Heptade ?|Harmonium|3
Quel groupe rock québécois était mené par Gerry Boulet ?|Offenbach|2
Quelle chanteuse québécoise a une voix puissante et chante Un peu plus haut ?|Ginette Reno|2
Quel chansonnier a écrit Mon pays ?|Gilles Vigneault|2
Quelle chanteuse acadienne a popularisé Évangéline ?|Annie Blanchard|3
Quel chanteur québécois a chanté Le petit roi ?|Jean-Pierre Ferland|2
Quelle chanteuse québécoise a gagné Eurovision pour la Suisse en 1988 ?|Céline Dion|2
Quel instrument est roi dans les rigodons québécois ?|Le violon|1
Quel groupe folklorique québécois a une bottine dans son nom ?|La Bottine Souriante|2
Comment nomme-t-on le rythme frappé du pied au Québec ?|La podorythmie|3
Quel instrument à dents pincées accompagne le folklore ?|La guimbarde|3
Quelles pièces de bois claque-t-on entre les doigts au Québec ?|Les cuillères|1
Quel compositeur a écrit la Lettre à Élise ?|Beethoven|2
Combien de symphonies Beethoven a-t-il composées ?|Neuf|3
Quel compositeur baroque a écrit les Concertos brandebourgeois ?|Bach|3
Quel compositeur enfant prodige a écrit La Flûte enchantée ?|Mozart|2
Quel compositeur polonais est le roi du piano romantique ?|Chopin|2
Quel compositeur français a écrit le Boléro ?|Ravel|3
Quel compositeur autrichien est le roi de la valse ?|Strauss|2
Quelle valse célèbre évoque un fleuve autrichien ?|Le Beau Danube bleu|2
Quelle cantatrice grecque fut surnommée la Divina ?|Maria Callas|3
Quel ténor italien a chanté avec les Trois Ténors ?|Pavarotti|2
Quelle œuvre de Prokofiev raconte un garçon et un loup ?|Pierre et le loup|2
Dans Pierre et le loup, quel instrument joue le loup ?|Le cor|3
Dans Pierre et le loup, quel instrument joue l'oiseau ?|La flûte|2
Quel hymne européen vient de la 9e de Beethoven ?|L'Ode à la joie|2
Quelle chanson des Beatles parle d'un sous-marin ?|Yellow Submarine|1
Quel groupe britannique a chanté Satisfaction ?|Rolling Stones|2
Quel chanteur des Rolling Stones a de grandes lèvres célèbres ?|Mick Jagger|2
Quel groupe a chanté Stairway to Heaven ?|Led Zeppelin|2
Quel groupe a chanté Another Brick in the Wall ?|Pink Floyd|2
Quel groupe a sorti l'album au prisme en 1973 ?|Pink Floyd|2
Quel chanteur est surnommé The Boss ?|Bruce Springsteen|2
Quel chanteur canadien a chanté Summer of 69 ?|Bryan Adams|2
Quelle chanteuse canadienne a chanté Complicated ?|Avril Lavigne|2
Quel chanteur canadien a été découvert sur YouTube ?|Justin Bieber|1
Quel rappeur canadien vient de Toronto ?|Drake|1
Quelle chanteuse canadienne a chanté Call Me Maybe ?|Carly Rae Jepsen|2
Quel poète-chanteur canadien a écrit Hallelujah ?|Leonard Cohen|2
Quelle chanteuse folk canadienne a écrit Big Yellow Taxi ?|Joni Mitchell|3
Quel groupe canadien a chanté American Woman ?|The Guess Who|3
Quel groupe de Montréal a gagné un Grammy pour The Suburbs ?|Arcade Fire|2
Quelle chanteuse a chanté Rolling in the Deep ?|Adele|2
Quelle chanteuse a chanté Bad Romance ?|Lady Gaga|2
Quelle chanteuse est surnommée Queen B ?|Beyoncé|1
Quelle jeune chanteuse a chanté Bad Guy ?|Billie Eilish|2
Quelle superstar américaine a nommé sa tournée Eras ?|Taylor Swift|1
Quel chanteur britannique roux a chanté Shape of You ?|Ed Sheeran|2
Quel groupe sud-coréen a chanté Dynamite ?|BTS|2
Quel style musical coréen a conquis la planète ?|La K-pop|1
Quel chanteur a popularisé le twist ?|Chubby Checker|3
Quelle danse latine endiablée vient de Cuba ?|La salsa|1
Quelle danse brésilienne anime le carnaval ?|La samba|1
Quel style jamaïcain a précédé le reggae ?|Le ska|3
Quel style musical parle-chante sur des rythmes ?|Le rap|1
Quel style musical est né dans les églises noires américaines ?|Le gospel|1
Quel style triste est né dans le delta du Mississippi ?|Le blues|1
Quel roi du blues appelait sa guitare Lucille ?|B.B. King|3
Quel guitariste gaucher a joué Purple Haze ?|Jimi Hendrix|2
Quel guitariste de Queen a un doctorat en astrophysique ?|Brian May|3
Quel musicien aveugle a chanté Georgia on My Mind ?|Ray Charles|2
Quel trompettiste avait les joues gonflées célèbres ?|Dizzy Gillespie|3
Quel trompettiste a chanté What a Wonderful World ?|Louis Armstrong|2
Quelle chanteuse de jazz était surnommée Lady Day ?|Billie Holiday|3
Quelle chanteuse française chantait La Vie en rose ?|Édith Piaf|1
Quel chanteur belge a chanté Ne me quitte pas ?|Jacques Brel|2
Quel chanteur français a chanté La Bohème ?|Charles Aznavour|2
Quel chanteur français moustachu chantait Les Champs-Élysées ?|Joe Dassin|2
Quel chanteur belge a chanté Alors on danse ?|Stromae|2
Quelle chanson de Stromae parle d'un père absent ?|Papaoutai|2
Quel instrument électronique remplace un orchestre ?|Le synthétiseur|1
Quel appareil mélange les disques en soirée ?|Table tournante|1
Comment nomme-t-on l'artiste qui anime les platines ?|Le DJ|1
Quel format de disque tourne à 33 tours ?|Le vinyle|1
Quel petit disque optique a remplacé la cassette ?|Le CD|1
Quel baladeur de Sony a révolutionné les années 80 ?|Le Walkman|2
Quelle note suit le si dans la gamme ?|Le do|1
Combien de demi-tons dans une octave ?|Douze|3
Quel signe musical monte une note d'un demi-ton ?|Le dièse|2
Quel signe musical baisse une note d'un demi-ton ?|Le bémol|2
Quelle clé musicale ressemble à une esperluette ?|Clé de sol|2
Sur quelle clé lit-on les notes graves ?|Clé de fa|2
Combien de temps dure une ronde ?|Quatre temps|2
Comment s'appelle un chant de Noël traditionnel ?|Un cantique|2
Quelle chanson de Noël parle d'un bonhomme de neige ?|Frosty|1
Quel chant de Noël commence par Mon beau sapin ?|Mon beau sapin|1
Quelle chanson chante-t-on aux anniversaires ?|Bonne fête|1
Quel opéra rock de Plamondon met en scène un businessman ?|Starmania|2
Quel spectacle musical français raconte Quasimodo ?|Notre-Dame de Paris|2
Quelle comédie musicale met en scène des chats ?|Cats|1
Quelle comédie musicale raconte un fantôme masqué ?|Fantôme de l'Opéra|1
Quelle comédie musicale suit une famille autrichienne ?|Mélodie du bonheur|2
Quel film musical met en scène Danny et Sandy ?|Grease|1
Quel chanteur incarnait Danny dans Grease ?|John Travolta|1
Quelle comédie musicale utilise les chansons d'ABBA ?|Mamma Mia|1
Quel chant alpin alterne voix de tête et de poitrine ?|Le yodel|1
Quel long instrument suisse s'étire au sol ?|Le cor des Alpes|2
Quel tambour à main vient d'Irlande ?|Le bodhrán|3
Quel instrument australien est un long tube en bois ?|Le didgeridoo|2
Quel tambour métallique vient de Trinité ?|Le steel drum|3
Quelles percussions cubaines se jouent par paire à main nue ?|Les congas|3
Quel xylophone africain a des calebasses ?|Le balafon|3
Quel piano à pouces africain vibre sous les doigts ?|La kalimba|3
Quel groupe a chanté Hey Jude et Let It Be ?|Les Beatles|1
Quel instrument à archet se joue assis, entre les genoux ?|Le violoncelle|1
Quelle chanteuse de la Barbade a chanté Umbrella ?|Rihanna|1
Quel chanteur américain a chanté Purple Rain ?|Prince|2
Quel groupe de Birmingham a lancé le heavy metal ?|Black Sabbath|3
Quel groupe a chanté Hotel California ?|Les Eagles|2
Quel groupe a chanté Smoke on the Water ?|Deep Purple|3
Quel album de Michael Jackson est le plus vendu ?|Thriller|2
Comment s'appelle l'hymne national de la France ?|La Marseillaise|1
Quelle petite flûte traversière est très aiguë ?|Le piccolo|2
Quelle percussion ronde a des cymbalettes ?|Le tambourin|1
Quelle ville américaine est la capitale du country ?|Nashville|2
Quel chanteur country était surnommé l'Homme en noir ?|Johnny Cash|2
Quelle chanteuse country a chanté Jolene ?|Dolly Parton|2
Combien de musiciens forment un trio ?|Trois|1
Quelle comptine demande Dormez-vous ?|Frère Jacques|1
Quel groupe a chanté Sweet Child O' Mine ?|Guns N' Roses|2
Combien de touches noires compte un piano ?|36|3
Quel chef d'orchestre québécois dirige le Met de New York ?|Nézet-Séguin|3
Comment s'appelle le plus gros tambour d'une fanfare ?|La grosse caisse|1
Quel groupe britannique a chanté Wonderwall ?|Oasis|2
Quelle chanteuse colombienne a chanté Waka Waka ?|Shakira|1
Quel chanteur portoricain a chanté Despacito ?|Luis Fonsi|2
