# Sports, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Quel pilote allemand a aussi gagné 7 titres de F1 ?|Michael Schumacher|2
Quelle écurie italienne de F1 est rouge ?|Ferrari|1
Quelle course américaine tourne en ovale 500 milles ?|Indianapolis 500|2
Quel drapeau agite-t-on à la fin d'une course auto ?|Drapeau à damier|1
Quel cheval célèbre a gagné la Triple Couronne en 1973 ?|Secretariat|3
Quel sport équestre saute des obstacles ?|Saut d'obstacles|1
Dans quel sport utilise-t-on un maillet à cheval ?|Le polo|1
Quel sport de précision vise le centre d'une cible ?|Le tir à l'arc|1
Comment s'appelle le centre de la cible aux fléchettes ?|Le bullseye|2
Comment nomme-t-on trois abats de suite au bowling ?|Un dindon|2
Quel sport de table se joue avec des queues et des billes ?|Le billard|1
Combien de billes rouges au snooker ?|Quinze|3
Quel sport olympique descend un couloir de glace sur le dos ?|La luge|1
Quelle fédération organise la Coupe du monde de soccer ?|La FIFA|1
Quel comité organise les Jeux olympiques ?|Le CIO|2
Tous les combien d'années ont lieu les JO d'hiver ?|Quatre ans|1
Que transporte le relais avant les Jeux ?|La flamme olympique|1
Quelle médaille récompense la troisième place ?|Le bronze|1
Quel pays a gagné le plus de médailles olympiques au total ?|Les États-Unis|1
Quel joueur des Capitals a marqué plus de 900 buts ?|Ovechkin|2
Quelle joueuse de tennis a gagné 23 titres du grand chelem ?|Serena Williams|2
Quel Suisse élégant a gagné 20 titres du grand chelem ?|Roger Federer|2
Quel Espagnol règne sur Roland-Garros ?|Rafael Nadal|2
Quel Serbe détient le record de titres du grand chelem ?|Novak Djokovic|2
Quel boxeur s'appelait Cassius Clay ?|Muhammad Ali|2
Quel athlète québécois d'arts martiaux est surnommé GSP ?|Georges St-Pierre|1
Dans quelle cage combattent les athlètes de l'UFC ?|L'octogone|1
Quel sport de combat olympique a un style gréco-romain ?|La lutte|2
Quel lutteur québécois était surnommé Mad Dog ?|Maurice Vachon|2
Quel sport pratique la famille Hart de Calgary ?|La lutte|3
Quelle discipline olympique note des figures sur glace ?|Patinage artistique|1
Quel patineur de vitesse québécois a plusieurs ors olympiques ?|Charles Hamelin|2
Quelle patineuse canadienne a gagné l'or en danse en 2018 ?|Tessa Virtue|3
Quel skieur de bosses québécois a gagné l'or en 2010 et 2014 ?|Alexandre Bilodeau|2
Quelle plongeuse québécoise a gagné l'argent à Tokyo ?|Jennifer Abel|3
Quel sport se joue avec un disque volant en équipe ?|L'ultimate|2
Quel sport mélange soccer et voiture dans un jeu vidéo ?|Rocket League|2
Quel sport de gymnase grimpe des murs à prises ?|L'escalade|1
Combien de joueurs par équipe au baseball ?|Neuf|1
Quel pays a inventé le judo ?|Le Japon|1
Quelle distance fait un demi-marathon ?|21,1 km|2
Quel tournoi du grand chelem se joue à New York ?|Le US Open|2
Quel tournoi du grand chelem se joue en janvier ?|Open d'Australie|2
Combien de tournois composent le grand chelem de tennis ?|Quatre|1
Quelle couleur de carton expulse un joueur au soccer ?|Rouge|1
Quelle couleur de carton avertit un joueur au soccer ?|Jaune|1
Quel joueur brésilien est surnommé le Roi du soccer ?|Pelé|1
Quel Argentin a marqué le but de la main de Dieu ?|Maradona|2
Quelle course de traîneaux à chiens traverse l'Alaska ?|L'Iditarod|3
Combien de rondes maximum en boxe professionnelle ?|Douze|2
Combien de quarts compte un match de la NBA ?|Quatre|1
Quel est le sport national d'hiver du Canada ?|Le hockey|1
Quel club de soccer espagnol joue au Camp Nou ?|FC Barcelone|2
Quel club anglais est surnommé les Diables rouges ?|Manchester United|2
Combien de joueurs par équipe au football canadien ?|Douze|2
Combien de joueurs par équipe au football américain ?|Onze|2
De quelle couleur est la veste du champion du Masters ?|Verte|2
Combien de points vaut la bille noire au snooker ?|Sept|3
Comment s'appelle le grand tour cycliste d'Italie ?|Le Giro|2
Quel maillot porte le meilleur grimpeur du Tour de France ?|À pois|2
Quel est le score parfait d'une partie de bowling ?|300|1
Combien de touches maximum par équipe au volleyball ?|Trois|2
